sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,content_fidelity,perceptual_enhancement,final_rr_score
PASD:1024x768___1446670895,PASD,1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___1446670895.png,0.9512932300567627,0.9527097940444946,0.9520015120506287
PASD:1024x768___1795186582,PASD,1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___1795186582.png,0.9567551016807556,0.9400002956390381,0.9483776986598969
PASD:1024x768___2047083409,PASD,1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2047083409.png,0.977517306804657,0.9828203916549683,0.9801688492298126
PASD:1024x768___2063914625,PASD,1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2063914625.png,0.9624249339103699,0.9380208849906921,0.950222909450531
PASD:1024x768___223186789,PASD,1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___223186789.png,0.9679083824157715,0.958961009979248,0.9634346961975098
PASD:1024x768___2688438615,PASD,1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2688438615.png,0.9785710573196411,0.9710912704467773,0.9748311638832092
PASD:1024x768___3092999912,PASD,1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___3092999912.png,0.994531512260437,0.9959070682525635,0.9952192902565002
PASD:1024x768___38056572,PASD,1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___38056572.png,0.9659579992294312,0.9596624374389648,0.962810218334198
PASD:1024x768___3956832242,PASD,1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___3956832242.png,0.974979043006897,0.9816187620162964,0.9782989025115967
PASD:1024x768___4042245241,PASD,1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4042245241.png,0.9564934968948364,0.9446388483047485,0.9505661725997925
PASD:1024x768___4669754441,PASD,1024x768___4669754441.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4669754441.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4669754441.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4669754441.png,0.9710310697555542,0.9716285467147827,0.9713298082351685
PASD:1024x768___4702733058,PASD,1024x768___4702733058.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4702733058.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4702733058.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4702733058.png,0.9173852205276489,0.8947253227233887,0.9060552716255188
PASD:1024x768___4962875195,PASD,1024x768___4962875195.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4962875195.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4962875195.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4962875195.png,0.9562805891036987,0.9620441198348999,0.9591623544692993
PASD:1024x768___5398199748,PASD,1024x768___5398199748.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___5398199748.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___5398199748.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___5398199748.png,0.9766714572906494,0.9826728105545044,0.9796721339225769
PASD:1024x768___5485090581,PASD,1024x768___5485090581.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___5485090581.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___5485090581.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___5485090581.png,0.9793018102645874,0.9788245558738708,0.9790631830692291
PASD:1024x768___5895477446,PASD,1024x768___5895477446.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___5895477446.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___5895477446.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___5895477446.png,0.9748173952102661,0.9644888043403625,0.9696530997753143
PASD:1024x768___6326442580,PASD,1024x768___6326442580.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___6326442580.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___6326442580.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___6326442580.png,0.9742820858955383,0.9751042127609253,0.9746931493282318
PASD:1024x768___6470955539,PASD,1024x768___6470955539.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___6470955539.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___6470955539.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___6470955539.png,0.9491674304008484,0.9482490420341492,0.9487082362174988
PASD:1024x768___6657341905,PASD,1024x768___6657341905.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___6657341905.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___6657341905.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___6657341905.png,0.9592167139053345,0.9599671959877014,0.9595919549465179
PASD:1024x768___7188136873,PASD,1024x768___7188136873.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7188136873.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7188136873.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7188136873.png,0.978239119052887,0.9736749529838562,0.9759570360183716
PASD:1024x768___7229767436,PASD,1024x768___7229767436.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7229767436.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7229767436.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7229767436.png,0.9765733480453491,0.9754241108894348,0.975998729467392
PASD:1024x768___7892635308,PASD,1024x768___7892635308.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7892635308.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7892635308.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7892635308.png,0.9732860922813416,0.9677072763442993,0.9704966843128204
PASD:1024x768___7971560974,PASD,1024x768___7971560974.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7971560974.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7971560974.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7971560974.png,0.9869966506958008,0.984553337097168,0.9857749938964844
PASD:1024x768___8072879274,PASD,1024x768___8072879274.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8072879274.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8072879274.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8072879274.png,0.9744879007339478,0.9710870385169983,0.972787469625473
PASD:1024x768___8077318332,PASD,1024x768___8077318332.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8077318332.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8077318332.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8077318332.png,0.9824356436729431,0.9652857780456543,0.9738607108592987
PASD:1024x768___8096129179,PASD,1024x768___8096129179.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8096129179.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8096129179.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8096129179.png,0.9660403728485107,0.9837942719459534,0.9749173223972321
PASD:1024x768___8209638994,PASD,1024x768___8209638994.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8209638994.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8209638994.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8209638994.png,0.9680860638618469,0.9575501680374146,0.9628181159496307
PASD:1024x768___8463119506,PASD,1024x768___8463119506.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8463119506.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8463119506.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8463119506.png,0.9795756936073303,0.9609570503234863,0.9702663719654083
PASD:1024x768___8658407746,PASD,1024x768___8658407746.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8658407746.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8658407746.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8658407746.png,0.9583761096000671,0.9548697471618652,0.9566229283809662
PASD:1024x768___9352825622,PASD,1024x768___9352825622.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___9352825622.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___9352825622.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___9352825622.png,0.9686644077301025,0.9489870071411133,0.9588257074356079
PASD:1024x768___9508596066,PASD,1024x768___9508596066.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___9508596066.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___9508596066.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___9508596066.png,0.9623230695724487,0.9495044946670532,0.955913782119751
PASD:1024x768___9607964223,PASD,1024x768___9607964223.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___9607964223.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___9607964223.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___9607964223.png,0.9803106784820557,0.9826552271842957,0.9814829528331757
PASD:512x384___11256776836,PASD,512x384___11256776836.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___11256776836.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___11256776836.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___11256776836.png,0.910369873046875,0.9284335970878601,0.9194017350673676
PASD:512x384___2371669291,PASD,512x384___2371669291.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___2371669291.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___2371669291.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___2371669291.png,0.8973208665847778,0.9139156341552734,0.9056182503700256
PASD:512x384___2856053454,PASD,512x384___2856053454.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___2856053454.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___2856053454.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___2856053454.png,0.9507412910461426,0.9447490572929382,0.9477451741695404
PASD:512x384___3455219027,PASD,512x384___3455219027.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___3455219027.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___3455219027.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___3455219027.png,0.948872447013855,0.9345785975456238,0.9417255222797394
PASD:512x384___3577464388,PASD,512x384___3577464388.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___3577464388.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___3577464388.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___3577464388.png,0.9391833543777466,0.9519394636154175,0.945561408996582
PASD:512x384___3918280584,PASD,512x384___3918280584.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___3918280584.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___3918280584.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___3918280584.png,0.9353107213973999,0.9400780200958252,0.9376943707466125
PASD:512x384___463525569,PASD,512x384___463525569.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___463525569.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___463525569.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___463525569.png,0.9283989071846008,0.930914580821991,0.9296567440032959
PASD:512x384___4926447658,PASD,512x384___4926447658.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___4926447658.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___4926447658.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___4926447658.png,0.9173300266265869,0.9095070958137512,0.9134185612201691
PASD:512x384___5485090581,PASD,512x384___5485090581.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___5485090581.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___5485090581.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___5485090581.png,0.9427147507667542,0.9439380764961243,0.9433264136314392
PASD:512x384___5748824865,PASD,512x384___5748824865.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___5748824865.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___5748824865.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___5748824865.png,0.9345000386238098,0.9271677136421204,0.9308338761329651
PASD:512x384___6013203590,PASD,512x384___6013203590.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___6013203590.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___6013203590.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___6013203590.png,0.929301381111145,0.9068787693977356,0.9180900752544403
PASD:512x384___6031843630,PASD,512x384___6031843630.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___6031843630.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___6031843630.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___6031843630.png,0.9605603814125061,0.9614416360855103,0.9610010087490082
PASD:512x384___6657341905,PASD,512x384___6657341905.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___6657341905.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___6657341905.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___6657341905.png,0.9089668393135071,0.9269154071807861,0.9179411232471466
PASD:512x384___6688716327,PASD,512x384___6688716327.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___6688716327.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___6688716327.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___6688716327.png,0.9037408828735352,0.9314839839935303,0.9176124334335327
PASD:512x384___7499781424,PASD,512x384___7499781424.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___7499781424.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___7499781424.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___7499781424.png,0.8783556818962097,0.9027689099311829,0.8905622959136963
PASD:512x384___7510743692,PASD,512x384___7510743692.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___7510743692.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___7510743692.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___7510743692.png,0.9546844363212585,0.9600086808204651,0.9573465585708618
PASD:512x384___9322601223,PASD,512x384___9322601223.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___9322601223.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___9322601223.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___9322601223.png,0.9437488317489624,0.9467194080352783,0.9452341198921204
PASD:ava_images___100514,PASD,ava_images___100514.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/ava_images___100514.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/ava_images___100514.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/ava_images___100514.png,0.9439992904663086,0.948273777961731,0.9461365342140198
PASD:ava_images___101816,PASD,ava_images___101816.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/ava_images___101816.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/ava_images___101816.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/ava_images___101816.png,0.8800148963928223,0.8905376195907593,0.8852762579917908
PASD:ava_images___103164,PASD,ava_images___103164.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/ava_images___103164.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/ava_images___103164.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/ava_images___103164.png,0.9446159601211548,0.9570133090019226,0.9508146345615387
PASD:ava_images___104653,PASD,ava_images___104653.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/ava_images___104653.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/ava_images___104653.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/ava_images___104653.png,0.9169154167175293,0.9179423451423645,0.9174288809299469
PASD:ava_images___10491,PASD,ava_images___10491.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/ava_images___10491.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/ava_images___10491.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/ava_images___10491.png,0.9419724941253662,0.9509035348892212,0.9464380145072937
PASD:ava_images___108173,PASD,ava_images___108173.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/ava_images___108173.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/ava_images___108173.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/ava_images___108173.png,0.943655252456665,0.9420533180236816,0.9428542852401733
PASD:ava_images___108233,PASD,ava_images___108233.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/ava_images___108233.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/ava_images___108233.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/ava_images___108233.png,0.9165160059928894,0.9365320801734924,0.9265240430831909
PASD:ava_images___109337,PASD,ava_images___109337.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/ava_images___109337.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/ava_images___109337.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/ava_images___109337.png,0.9368114471435547,0.9346510171890259,0.9357312321662903
PASD:ava_images___109793,PASD,ava_images___109793.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/ava_images___109793.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/ava_images___109793.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/ava_images___109793.png,0.9538865089416504,0.9604499936103821,0.9571682512760162
PASD:ava_images___109955,PASD,ava_images___109955.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/ava_images___109955.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/ava_images___109955.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/ava_images___109955.png,0.9080794453620911,0.9210500717163086,0.9145647585391998
PASD:ava_images___110424,PASD,ava_images___110424.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/ava_images___110424.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/ava_images___110424.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/ava_images___110424.png,0.9493289589881897,0.9536985158920288,0.9515137374401093
PASD:ava_images___110456,PASD,ava_images___110456.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/ava_images___110456.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/ava_images___110456.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/ava_images___110456.png,0.9116131663322449,0.9236690998077393,0.9176411330699921
PASD:ava_images___111454,PASD,ava_images___111454.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/ava_images___111454.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/ava_images___111454.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/ava_images___111454.png,0.9116742014884949,0.9209043979644775,0.9162892997264862
PASD:ava_images___11346,PASD,ava_images___11346.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/ava_images___11346.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/ava_images___11346.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/ava_images___11346.png,0.9320434331893921,0.9489806890487671,0.9405120611190796
