sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,musiq,arniqa,qalign,unique,paq2piq
PASD:1024x768___1446670895,PASD,1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___1446670895.png,76.21620178222656,0.6967676281929016,4.125,0.819755494594574,78.9548568725586
PASD:1024x768___1795186582,PASD,1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___1795186582.png,64.3832778930664,0.5990750789642334,2.98828125,0.5687034726142883,74.32695007324219
PASD:1024x768___2047083409,PASD,1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2047083409.png,58.91404724121094,0.6070807576179504,3.65234375,0.5848888158798218,76.4165267944336
PASD:1024x768___2063914625,PASD,1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2063914625.png,70.26615905761719,0.6496415734291077,3.984375,0.7967953681945801,73.7838363647461
PASD:1024x768___223186789,PASD,1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___223186789.png,60.33714294433594,0.5775416493415833,3.880859375,0.44712403416633606,74.78193664550781
PASD:1024x768___2688438615,PASD,1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2688438615.png,72.0788803100586,0.6887932419776917,3.11328125,1.3984036445617676,74.24359130859375
PASD:1024x768___3092999912,PASD,1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___3092999912.png,68.20989990234375,0.7070809006690979,2.875,1.5962741374969482,80.21186065673828
PASD:1024x768___38056572,PASD,1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___38056572.png,67.8534164428711,0.7049965858459473,4.09765625,1.4384087324142456,72.55006408691406
PASD:1024x768___3956832242,PASD,1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___3956832242.png,56.989341735839844,0.5359758138656616,3.708984375,0.02102624624967575,63.70746612548828
PASD:1024x768___4042245241,PASD,1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4042245241.png,56.1900749206543,0.6311498880386353,3.64453125,0.6374232172966003,71.71479034423828
