sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,psnr_gt,ssim_gt,lpips-vgg_gt,stlpips-vgg_gt,pieapp_gt,ahiq_gt,psnr_bicubic,ssim_bicubic,lpips-vgg_bicubic,stlpips-vgg_bicubic,pieapp_bicubic,ahiq_bicubic,psnr_RLFN,ssim_RLFN,lpips-vgg_RLFN,stlpips-vgg_RLFN,pieapp_RLFN,ahiq_RLFN,psnr_SPAN,ssim_SPAN,lpips-vgg_SPAN,stlpips-vgg_SPAN,pieapp_SPAN,ahiq_SPAN
PASD:1024x768___1446670895,PASD,1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___1446670895.png,20.592544555664062,0.7277530672573913,0.28891366720199585,0.2646716237068176,0.6544842720031738,0.30267271399497986,21.44461441040039,0.7399951119734276,0.3627780079841614,0.37826022505760193,0.260424941778183,0.32064148783683777,21.166658401489258,0.7189214258670412,0.3590393662452698,0.3497818112373352,0.5436683893203735,0.2765505313873291,21.109264373779297,0.7300474216374135,0.36583051085472107,0.34256893396377563,0.3953109681606293,0.27893373370170593
PASD:1024x768___1795186582,PASD,1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___1795186582.png,28.848411560058594,0.8626928352970752,0.3035471737384796,0.19061632454395294,0.7443663477897644,0.39501672983169556,28.9727783203125,0.8750165511480718,0.33605048060417175,0.27503445744514465,0.6141855716705322,0.41170835494995117,28.101600646972656,0.8677442658446999,0.31646764278411865,0.23689506947994232,0.9426879286766052,0.41194841265678406,28.19990348815918,0.8702812864746862,0.3375210165977478,0.2593217194080353,0.9166279435157776,0.40161094069480896
PASD:1024x768___2047083409,PASD,1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2047083409.png,28.56800079345703,0.8239305733683913,0.268452525138855,0.19294223189353943,0.5349588990211487,0.40518665313720703,28.35822868347168,0.8324544559589075,0.3465700149536133,0.3134598731994629,0.3381148874759674,0.3961576521396637,26.902931213378906,0.8193693240385226,0.33606845140457153,0.25827813148498535,0.4360831081867218,0.3707836866378784,26.73815155029297,0.8228275321856141,0.35917598009109497,0.3078283667564392,0.6242483258247375,0.37553897500038147
PASD:1024x768___2063914625,PASD,1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2063914625.png,29.21830177307129,0.8315323642977034,0.31414082646369934,0.2300998568534851,0.7186179161071777,0.353192001581192,29.07390594482422,0.853609147797007,0.3661237359046936,0.31591880321502686,0.2957230806350708,0.3563191592693329,28.604476928710938,0.8539994890964966,0.3445483446121216,0.27477434277534485,0.7151114344596863,0.3157655596733093,28.582399368286133,0.8583437655966102,0.3530696630477905,0.30311936140060425,0.4861259460449219,0.3337177634239197
PASD:1024x768___223186789,PASD,1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___223186789.png,31.744823455810547,0.8605890078514262,0.2904449701309204,0.1265336573123932,0.5759960412979126,0.3546968996524811,33.37746047973633,0.9059047048513558,0.3312210142612457,0.2186955064535141,0.6846182346343994,0.42821380496025085,27.440988540649414,0.8698889566178785,0.3010396659374237,0.18445445597171783,0.9374966621398926,0.3567969799041748,27.678173065185547,0.9042812712519258,0.31322601437568665,0.2543327510356903,0.9251070618629456,0.35012948513031006
PASD:1024x768___2688438615,PASD,1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2688438615.png,29.883056640625,0.8678578988767383,0.3642389178276062,0.2971898019313812,0.878657877445221,0.3157685101032257,29.075511932373047,0.8680650627913624,0.40462419390678406,0.36769282817840576,0.674828827381134,0.30583643913269043,28.842744827270508,0.8732452248600884,0.3925422430038452,0.31926965713500977,1.0942538976669312,0.2983247935771942,28.39002227783203,0.8688583106657738,0.4138551354408264,0.34419992566108704,0.7915613651275635,0.3097566068172455
PASD:1024x768___3092999912,PASD,1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___3092999912.png,28.017593383789062,0.8674545487738912,0.3260577321052551,0.4405878186225891,0.5241450667381287,0.4213317930698395,27.653545379638672,0.8592685044622549,0.3745499849319458,0.4813411235809326,0.25611698627471924,0.42043161392211914,27.469215393066406,0.8564838548508592,0.3601522445678711,0.4423108398914337,0.43501123785972595,0.3753252327442169,27.36709976196289,0.8593998869073193,0.36496877670288086,0.4587203860282898,0.3354848027229309,0.398796409368515
PASD:1024x768___38056572,PASD,1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___38056572.png,22.941715240478516,0.6143619837116429,0.337737500667572,0.23853567242622375,1.0622518062591553,0.3902946412563324,23.850605010986328,0.6993075797861592,0.4237012267112732,0.44363126158714294,1.1259334087371826,0.34496209025382996,23.48041534423828,0.6745955263608571,0.4162285625934601,0.3919221758842468,1.5475976467132568,0.29493457078933716,23.671890258789062,0.6929166006843406,0.4132571220397949,0.415640264749527,1.3259549140930176,0.30392986536026
PASD:1024x768___3956832242,PASD,1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___3956832242.png,34.42152404785156,0.894441699615929,0.2508866786956787,0.2076648771762848,0.3315300941467285,0.4842967689037323,34.5503044128418,0.9009876200720585,0.34240996837615967,0.2717263102531433,0.3258300721645355,0.48107558488845825,29.35396957397461,0.8955510079716231,0.3296108841896057,0.25706747174263,0.3371223509311676,0.455843448638916,28.894126892089844,0.8948149031526049,0.33432674407958984,0.2643495500087738,0.30287274718284607,0.4599207937717438
PASD:1024x768___4042245241,PASD,1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4042245241.png,21.39255714416504,0.615079678006599,0.38639599084854126,0.35144656896591187,0.9413920640945435,0.28246769309043884,22.165451049804688,0.6374131217125059,0.4514031708240509,0.5118144750595093,1.1479296684265137,0.20717497169971466,21.886150360107422,0.6358897775017297,0.44405701756477356,0.4585654139518738,1.297782301902771,0.21060732007026672,21.966249465942383,0.6377459456790913,0.45066529512405396,0.4735732078552246,1.4340072870254517,0.1934455782175064
