name,min,max,mean,median,std,p05,p95,area00,area05,area075
PASD/1024x768___1446670895.npy.gz,0.0,0.24519491,0.11975101,0.12043902,0.05782039,0.028411448,0.20550552,0.95367431640625,0.0,0.0
PASD/1024x768___1795186582.npy.gz,0.0,0.28414756,0.10290247,0.08335492,0.079496734,0.012247741,0.23991525,0.95367431640625,0.0,0.0
PASD/1024x768___2047083409.npy.gz,0.0,0.20016375,0.076073594,0.06839681,0.049699124,0.0107726455,0.16045153,0.95367431640625,0.0,0.0
PASD/1024x768___2063914625.npy.gz,0.0,0.25602087,0.10806013,0.10346851,0.049125798,0.032111943,0.1899938,0.95367431640625,0.0,0.0
PASD/1024x768___223186789.npy.gz,0.0,0.21063977,0.07226994,0.06726143,0.04817951,0.013289571,0.16975224,0.95367431640625,0.0,0.0
PASD/1024x768___2688438615.npy.gz,0.0,0.2586174,0.117750116,0.1276978,0.056516808,0.026847363,0.20701867,0.95367431640625,0.0,0.0
PASD/1024x768___3092999912.npy.gz,0.0,0.24822605,0.110235654,0.118653536,0.06697829,0.01605177,0.21073943,0.95367431640625,0.0,0.0
PASD/1024x768___38056572.npy.gz,0.0,0.28852025,0.15188698,0.16471225,0.064948834,0.0025408268,0.23610097,0.95367431640625,0.0,0.0
PASD/1024x768___3956832242.npy.gz,0.0,0.16240484,0.06192604,0.056519955,0.02826977,0.026678026,0.11765909,0.95367431640625,0.0,0.0
PASD/1024x768___4042245241.npy.gz,0.0,0.2711334,0.13046119,0.13994515,0.06466213,0.00028127432,0.23040915,0.95367431640625,0.0,0.0
PASD/1024x768___4669754441.npy.gz,0.0,0.23552793,0.075067885,0.05260414,0.05419733,0.017518818,0.18126297,0.95367431640625,0.0,0.0
PASD/1024x768___4702733058.npy.gz,0.0,0.28168625,0.14080054,0.17392513,0.08724905,0.008733869,0.25480974,0.95367431640625,0.0,0.0
PASD/1024x768___4962875195.npy.gz,0.0,0.28292608,0.122599065,0.12469697,0.05770692,0.00043284893,0.22197008,0.95367431640625,0.0,0.0
PASD/1024x768___5398199748.npy.gz,0.0,0.27907822,0.08038709,0.055197775,0.060824167,0.016103089,0.20918489,0.95367431640625,0.0,0.0
PASD/1024x768___5485090581.npy.gz,0.0,0.260468,0.107952446,0.10564256,0.043931864,0.05039552,0.18643361,0.95367431640625,0.0,0.0
PASD/1024x768___5895477446.npy.gz,0.0,0.3100119,0.121103376,0.12752885,0.07663464,0.012491047,0.23407105,0.95367431640625,0.0,0.0
PASD/1024x768___6326442580.npy.gz,0.0,0.251346,0.079801105,0.06461051,0.05337862,0.01695937,0.17952329,0.95367431640625,0.0,0.0
PASD/1024x768___6470955539.npy.gz,0.0,0.31171483,0.17376937,0.1764563,0.06925866,0.030713797,0.27487844,0.95367431640625,0.0,0.0
PASD/1024x768___6657341905.npy.gz,0.0,0.3170075,0.19563788,0.19958901,0.062844016,0.107045054,0.28286847,0.95367431640625,0.0,0.0
PASD/1024x768___7188136873.npy.gz,0.0,0.269031,0.098607175,0.09320411,0.042381022,0.038919926,0.1766972,0.95367431640625,0.0,0.0
PASD/1024x768___7229767436.npy.gz,0.0,0.28243452,0.14366667,0.16256356,0.075158544,0.0075396,0.2462228,0.95367431640625,0.0,0.0
PASD/1024x768___7892635308.npy.gz,0.0,0.2812918,0.14042075,0.14053023,0.0533546,0.057355225,0.22547746,0.95367431640625,0.0,0.0
PASD/1024x768___7971560974.npy.gz,0.0,0.2497575,0.12059473,0.12879577,0.056983314,0.026825994,0.20549083,0.95367431640625,0.0,0.0
PASD/1024x768___8072879274.npy.gz,0.0,0.2962789,0.11053712,0.09939948,0.07628206,0.010423005,0.23569754,0.95367431640625,0.0,0.0
PASD/1024x768___8077318332.npy.gz,0.0,0.3053969,0.15533154,0.16554567,0.07231526,0.015139461,0.25869745,0.95367431640625,0.0,0.0
PASD/1024x768___8096129179.npy.gz,0.0,0.23471305,0.0840106,0.07753402,0.061396323,0.009362906,0.18900079,0.95367431640625,0.0,0.0
PASD/1024x768___8209638994.npy.gz,0.0,0.28419742,0.16997202,0.17530698,0.052603416,0.09224743,0.23406613,0.95367431640625,0.0,0.0
PASD/1024x768___8463119506.npy.gz,0.0,0.32877702,0.21602757,0.22558823,0.057203405,0.13499346,0.28132394,0.95367431640625,0.0,0.0
PASD/1024x768___8658407746.npy.gz,0.0,0.27318162,0.09969575,0.096859455,0.065054104,0.0156213045,0.20872349,0.95367431640625,0.0,0.0
PASD/1024x768___9352825622.npy.gz,0.0,0.31589437,0.1910463,0.20376521,0.06161543,0.05433339,0.27313253,0.95367431640625,0.0,0.0
PASD/1024x768___9508596066.npy.gz,0.0,0.32091093,0.18384051,0.19025576,0.05923206,0.07524091,0.26045746,0.95367431640625,0.0,0.0
PASD/1024x768___9607964223.npy.gz,0.0,0.24979943,0.044518817,0.018537253,0.05488961,0.008354694,0.17236659,0.95367431640625,0.0,0.0
PASD/512x384___11256776836.npy.gz,0.0,0.2239855,0.06762105,0.043908954,0.059034195,0.0,0.17299217,0.8900960286458334,0.0,0.0
PASD/512x384___2371669291.npy.gz,0.0,0.18185252,0.09218314,0.09936541,0.044099815,0.0,0.16122177,0.8900960286458334,0.0,0.0
PASD/512x384___2856053454.npy.gz,0.0,0.13690376,0.06283536,0.057508677,0.03676897,0.0,0.13358372,0.8900960286458334,0.0,0.0
PASD/512x384___3455219027.npy.gz,0.0,0.24510938,0.08124114,0.065624684,0.065759115,0.0,0.19766957,0.8900960286458334,0.0,0.0
PASD/512x384___3577464388.npy.gz,0.0,0.21290678,0.11456915,0.12830213,0.061219182,0.0,0.20593643,0.8900960286458334,0.0,0.0
PASD/512x384___3918280584.npy.gz,0.0,0.1890493,0.01682665,0.0088528395,0.035915177,0.0,0.13962644,0.8900960286458334,0.0,0.0
PASD/512x384___463525569.npy.gz,0.0,0.25275588,0.1190961,0.13647181,0.07652741,0.0,0.22069773,0.8900960286458334,0.0,0.0
