sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,resnet_pca_000,resnet_pca_001,resnet_pca_002,resnet_pca_003,resnet_pca_004
PASD:1024x768___1446670895,PASD,1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___1446670895.png,test,-1.7651901,-1.5278394,0.6008274,-0.9712955,0.23671812
PASD:1024x768___1795186582,PASD,1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___1795186582.png,train,-1.1929178,0.19168568,1.4164903,-1.312004,1.3325531
PASD:1024x768___2047083409,PASD,1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2047083409.png,test,-0.73170245,-1.4859095,1.0984623,-0.843727,1.7223929
PASD:1024x768___2063914625,PASD,1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2063914625.png,test,-1.7992502,-1.601112,-0.28153595,-0.8870115,0.62067187
PASD:1024x768___223186789,PASD,1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___223186789.png,train,0.31689706,-2.654094,-0.3612234,0.34252697,0.57652843
PASD:1024x768___2688438615,PASD,1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2688438615.png,test,-2.6552753,1.9224756,-0.5464476,-3.3766031,0.61040604
PASD:1024x768___3092999912,PASD,1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___3092999912.png,test,-0.009413815,0.64856386,-2.327006,-2.8648143,2.0339942
PASD:1024x768___38056572,PASD,1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___38056572.png,test,-1.5559392,-0.7080457,1.6991341,-2.3539138,-1.02111
PASD:1024x768___3956832242,PASD,1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___3956832242.png,train,-0.24782853,-3.603514,-1.9247577,-0.59423554,-0.4531973
PASD:1024x768___4042245241,PASD,1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4042245241.png,test,4.7529063,4.759941,5.099877,1.4729756,-3.9970973
