sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,resnet_pca_000,resnet_pca_001,resnet_pca_002,resnet_pca_003,resnet_pca_004,resnet_pca_005,resnet_pca_006,resnet_pca_007,resnet_pca_008,resnet_pca_009,resnet_pca_010,resnet_pca_011,resnet_pca_012,resnet_pca_013,resnet_pca_014,resnet_pca_015,resnet_pca_016,resnet_pca_017,resnet_pca_018,resnet_pca_019,resnet_pca_020,resnet_pca_021,resnet_pca_022,resnet_pca_023,resnet_pca_024,resnet_pca_025,resnet_pca_026,resnet_pca_027,resnet_pca_028,resnet_pca_029,resnet_pca_030,resnet_pca_031,resnet_pca_032,resnet_pca_033,resnet_pca_034,resnet_pca_035,resnet_pca_036,resnet_pca_037,resnet_pca_038,resnet_pca_039,resnet_pca_040,resnet_pca_041,resnet_pca_042,resnet_pca_043,resnet_pca_044,resnet_pca_045,resnet_pca_046,resnet_pca_047,resnet_pca_048,resnet_pca_049
PASD:1024x768___1446670895,PASD,1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___1446670895.png,test,-1.7651901,-1.5278394,0.6008274,-0.9712955,0.23671812,-1.7215832,-0.43186393,0.4984059,-0.70974565,2.444226,-1.1618414,0.42954576,0.893135,-0.1398008,1.764132,-0.3492684,0.18902609,0.6436353,0.6873916,0.41810265,0.9938736,-0.5051018,0.6070141,-0.06776668,-0.106249794,-0.3981317,0.23458123,-0.08492935,-0.04767181,1.0277663,-0.6353313,-0.3522651,-1.1525736,-0.04706858,-0.64162683,-1.4355937,-0.90487564,-0.13549918,0.7044486,0.73690915,0.33728802,-0.06733242,0.21930358,0.14653961,0.87723434,0.38247973,0.47014582,-0.22770497,0.6763458,-0.41750687
PASD:1024x768___1795186582,PASD,1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___1795186582.png,train,-1.1929178,0.19168568,1.4164903,-1.312004,1.3325531,-0.4167769,-0.46537787,0.8541448,-0.42655876,-1.9858605,1.8362966,-2.690433,-0.83841294,1.5377853,-0.11544126,0.70207787,-1.1971565,0.5764725,0.51648986,0.8673813,-0.50744224,-1.0061134,0.6291243,-0.4208448,-0.29804876,-0.556341,1.3449062,1.254579,-0.84395593,1.6448169,-0.6138802,0.3059014,0.2422269,-0.2616533,0.6497024,0.5967834,-1.0522459,0.031451017,-0.41236725,0.70094633,0.7554903,0.60531807,-0.6664193,0.9438996,-0.22735915,1.7565337,-0.14906517,0.6248977,0.4788594,-1.8713506
PASD:1024x768___2047083409,PASD,1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2047083409.png,test,-0.73170245,-1.4859095,1.0984623,-0.843727,1.7223929,0.43809962,-0.89545184,0.6813985,-0.7553163,0.3571086,1.3466225,-0.9885639,0.38210452,-0.43859208,0.31463444,-0.12825508,-0.089064375,0.20213702,0.64639366,0.78171086,0.103649154,0.30530983,-0.3248996,0.007945418,-0.14735049,0.11051937,-0.32632262,0.076910675,-0.43381345,0.49426955,-0.07965373,0.54888886,0.6096054,0.12207574,0.50496674,0.13512966,0.35125357,0.05893144,0.14627697,-0.7403485,0.19327305,0.12858716,-0.014835149,-0.033472415,-0.10988027,0.40134066,-0.5062318,0.12753077,0.45981798,-0.54329926
PASD:1024x768___2063914625,PASD,1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2063914625.png,test,-1.7992502,-1.601112,-0.28153595,-0.8870115,0.62067187,-0.6761799,-0.24275126,-0.068070896,-0.84142077,1.57925,-0.50720114,0.19773072,0.6485942,-0.26957846,1.7175105,-0.6744667,0.22080806,-0.28354198,0.26213866,0.5035807,0.3426145,0.28276506,0.4098266,-0.5072858,-0.41065297,0.5203231,0.076793134,-0.5877359,-0.64619166,0.94127524,-0.18935066,-0.31966868,-0.8863778,-0.21674709,-0.10767852,-0.7629025,-0.40264297,-0.8137803,0.030934788,0.97221076,-0.024000198,-0.14753577,0.3075978,0.22647546,0.77624595,0.26283407,0.113211766,-0.3568146,1.0466446,-0.73039764
PASD:1024x768___223186789,PASD,1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___223186789.png,train,0.31689706,-2.654094,-0.3612234,0.34252697,0.57652843,0.5089748,-0.09198541,0.007186223,-0.19798619,-0.6612369,-0.091427505,-1.2096678,-0.19264978,-0.28287965,-0.046937346,0.1647937,-0.6319753,-0.24886425,-0.3715589,-0.8066202,0.48303932,0.32535964,0.06909462,-0.24802898,-0.10704056,-0.0980963,0.6110848,0.36474922,0.055294752,-0.47170573,-0.44248825,0.866217,-0.27544683,0.38803768,0.005212933,0.17636098,0.20047407,0.27656147,-0.44507644,0.5173219,0.18127005,-0.5277692,-0.16277081,0.3111785,0.015746057,0.248383,0.072825834,0.3620319,0.034384847,-0.080844894
PASD:1024x768___2688438615,PASD,1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2688438615.png,test,-2.6552753,1.9224756,-0.5464476,-3.3766031,0.61040604,-1.6339797,-2.1574657,0.13897195,-0.34930387,-1.6577749,-0.08727974,-1.3623092,-0.2744328,-0.26768094,0.26159042,0.37711558,-0.38973132,0.8619536,1.6715252,-0.3746594,-0.26733202,-0.27427936,-0.37354723,-1.3824645,0.64719707,0.71724886,0.35870773,0.44986272,0.8041418,1.5961878,0.12332152,-1.7225819,0.20078075,-0.6673531,-0.9642259,-0.29717857,0.5981666,1.6752704,-0.43624172,-1.0668336,-0.80550754,-1.3729403,1.3330786,0.6481237,0.75153804,0.77894026,0.2247269,0.9331729,-0.3039416,-0.16366307
PASD:1024x768___3092999912,PASD,1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___3092999912.png,test,-0.009413815,0.64856386,-2.327006,-2.8648143,2.0339942,0.55066705,-0.81509495,-1.2490938,0.20485711,0.9745989,3.5142605,3.0182533,-0.9682435,-0.6659539,2.226097,-1.0600891,-1.3753263,-0.5209926,0.82116264,-0.5805155,-0.12656224,1.6004984,2.442002,2.797943,-1.272165,0.39269382,-0.79747623,-0.5860375,-0.46396643,-0.6384853,-0.60306704,3.2799053,2.2156987,-0.2629754,-0.5070577,-1.7944971,-0.8252276,-0.60059273,1.6596372,-1.5583277,0.5971646,0.9990182,0.064131774,-0.9725478,1.5959628,-0.142674,-0.011313528,1.2057835,-0.58707905,0.16179039
PASD:1024x768___38056572,PASD,1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___38056572.png,test,-1.5559392,-0.7080457,1.6991341,-2.3539138,-1.02111,-0.14035738,1.2410676,-2.244509,-1.0887116,0.27243203,-1.4484994,0.9918842,-0.41796136,-0.18651053,0.40716052,-0.5525768,0.4547073,-0.19471675,0.13526124,1.9631145,-0.19890478,-0.81981075,1.9928693,-1.9019272,-0.24490395,1.1475968,0.98690337,0.13834697,0.56309295,-0.41839004,-1.1408794,-0.06875101,-0.52961236,0.0879641,0.1585108,-0.07929985,-1.05698,1.0205379,-0.42635205,1.5284534,0.39967906,0.2602584,0.98149943,0.51695186,0.31758493,2.1337311,1.2582895,-1.4826586,-0.023687303,-0.22667307
PASD:1024x768___3956832242,PASD,1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___3956832242.png,train,-0.24782853,-3.603514,-1.9247577,-0.59423554,-0.4531973,-0.6228187,-1.1196513,1.1577611,4.5210133,1.3376932,1.3268743,-0.9595741,-1.1094277,-0.47166783,-0.03285688,1.1046348,1.8583468,-0.5049856,-0.7616047,0.08418368,-1.0404825,-1.3815016,-0.4827034,-0.5120338,-0.71220577,-0.2562868,-0.2669108,0.44941813,0.594309,-0.7220345,-0.46247846,-0.56830585,-0.2519945,0.6509765,0.26617756,0.700196,-0.26686528,-0.7639204,0.32506907,0.63878477,0.04558535,-1.2789543,-0.14847414,-0.6728078,1.4716572,-0.5794474,-0.6310735,-0.36998895,-1.0038763,-0.66982514
PASD:1024x768___4042245241,PASD,1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4042245241.png,test,4.7529063,4.759941,5.099877,1.4729756,-3.9970973,-1.659113,-2.5261958,-0.5400262,0.8211694,-0.84203106,2.2891119,2.8990324,2.7928014,-3.8761063,0.40186077,-0.6046524,0.32281876,-1.4007114,0.88510865,-0.29593208,-1.0990927,-1.2708788,-0.16944253,1.3422877,-0.20926744,1.4089506,0.44144592,-1.3770728,0.66347873,0.9278015,-0.95167357,0.027872443,-0.3702876,0.13240887,0.5950924,-0.854699,1.0942999,0.11264701,-1.8435162,-0.15447967,0.6963589,-0.3725435,1.2909858,-1.4048587,0.7424866,0.6118631,-0.08073299,0.8108019,0.69058394,0.8587388
