sample_id,sr_method,sr_filename,sr_path,dataset,test_case,rel_path,gt_path,lr_path,set_type,resnet_pca_000,resnet_pca_001,resnet_pca_002,resnet_pca_003,resnet_pca_004,resnet_pca_005,resnet_pca_006,resnet_pca_007,resnet_pca_008,resnet_pca_009,resnet_pca_010,resnet_pca_011,resnet_pca_012,resnet_pca_013,resnet_pca_014,resnet_pca_015,resnet_pca_016,resnet_pca_017,resnet_pca_018,resnet_pca_019,resnet_pca_020,resnet_pca_021,resnet_pca_022,resnet_pca_023,resnet_pca_024
QualiSR-Set120/PASD/1024x768___4962875195.npy.gz,PASD,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,PASD/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-0.6380513,-0.40738034,-1.3913939,-1.2599208,0.018696427,6.05274,-4.111467,-4.303002,-2.5989323,1.5601656,-3.7058659,0.37106258,3.7283692,-2.249256,-0.843915,0.67570394,4.406571,2.658355,2.4700055,-1.6584351,-0.026604146,-0.11376363,-0.50929666,0.6914316,0.53555727
QualiSR-Set120/RealESRGAN/1024x768___4962875195.npy.gz,RealESRGAN,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,RealESRGAN/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-0.6380513,-0.40738034,-1.3913939,-1.2599208,0.018696427,6.05274,-4.111467,-4.303002,-2.5989323,1.5601656,-3.7058659,0.37106258,3.7283692,-2.249256,-0.843915,0.67570394,4.406571,2.658355,2.4700055,-1.6584351,-0.026604146,-0.11376363,-0.50929666,0.6914316,0.53555727
QualiSR-Set120/SUPIR/1024x768___4962875195.npy.gz,SUPIR,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,SUPIR/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-0.6380513,-0.40738034,-1.3913939,-1.2599208,0.018696427,6.05274,-4.111467,-4.303002,-2.5989323,1.5601656,-3.7058659,0.37106258,3.7283692,-2.249256,-0.843915,0.67570394,4.406571,2.658355,2.4700055,-1.6584351,-0.026604146,-0.11376363,-0.50929666,0.6914316,0.53555727
QualiSR-Set120/PASD/ava_images___101816.npy.gz,PASD,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___101816.png,QualiSR-Set120,ava_images___101816,PASD/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,1.4992558,1.1749134,2.144257,-1.7195958,-4.045351,0.7523575,1.4401987,-0.865502,1.715008,0.80767393,0.030129403,0.34011328,0.20650291,-0.5938189,0.05869575,-1.4210341,-2.0970268,0.952229,0.9025967,1.9061958,-1.4109691,-2.2762372,0.96679145,-3.5082712,2.701091
QualiSR-Set120/RealESRGAN/ava_images___101816.npy.gz,RealESRGAN,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___101816.png,QualiSR-Set120,ava_images___101816,RealESRGAN/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,1.510161,1.14493,2.1260684,-1.7203739,-4.055505,0.7404691,1.4327754,-0.856973,1.7263622,0.7800647,0.038859546,0.31873816,0.2342292,-0.60643053,0.06179145,-1.4261849,-2.0841465,0.9293104,0.9083364,1.8952326,-1.4073884,-2.2508075,0.9603955,-3.489649,2.7061071
QualiSR-Set120/SUPIR/ava_images___101816.npy.gz,SUPIR,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___101816.png,QualiSR-Set120,ava_images___101816,SUPIR/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,1.4992558,1.1749134,2.144257,-1.7195958,-4.045351,0.7523575,1.4401987,-0.865502,1.715008,0.80767393,0.030129403,0.34011328,0.20650291,-0.5938189,0.05869575,-1.4210341,-2.0970268,0.952229,0.9025967,1.9061958,-1.4109691,-2.2762372,0.96679145,-3.5082712,2.701091
QualiSR-Set120/PASD/ava_images___158174.npy.gz,PASD,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___158174.png,QualiSR-Set120,ava_images___158174,PASD/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-1.7426132,-5.102231,-7.928184,1.3979061,-0.16182768,-2.6520271,3.381185,3.7981806,-0.5357934,4.337499,-0.72945964,-3.2046304,1.8272117,-0.8051623,1.2124796,-5.2751565,-0.46400648,3.3472404,0.15771013,0.7376252,-0.1838097,0.33295947,0.15559053,0.28874552,0.20633802
QualiSR-Set120/RealESRGAN/ava_images___158174.npy.gz,RealESRGAN,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___158174.png,QualiSR-Set120,ava_images___158174,RealESRGAN/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-1.7426132,-5.102231,-7.928184,1.3979061,-0.16182768,-2.6520271,3.381185,3.7981806,-0.5357934,4.337499,-0.72945964,-3.2046304,1.8272117,-0.8051623,1.2124796,-5.2751565,-0.46400648,3.3472404,0.15771013,0.7376252,-0.1838097,0.33295947,0.15559053,0.28874552,0.20633802
QualiSR-Set120/SUPIR/ava_images___158174.npy.gz,SUPIR,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___158174.png,QualiSR-Set120,ava_images___158174,SUPIR/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-1.7426132,-5.102231,-7.928184,1.3979061,-0.16182768,-2.6520271,3.381185,3.7981806,-0.5357934,4.337499,-0.72945964,-3.2046304,1.8272117,-0.8051623,1.2124796,-5.2751565,-0.46400648,3.3472404,0.15771013,0.7376252,-0.1838097,0.33295947,0.15559053,0.28874552,0.20633802
QualiSR-Set120/PASD/ava_images___18037.npy.gz,PASD,ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___18037.png,QualiSR-Set120,ava_images___18037,PASD/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___18037.png,train,-3.3626034,8.549742,-1.2670228,3.4744084,0.1502155,-1.2934556,0.8823285,0.41489184,-0.22036874,0.14567742,-0.23867336,0.68647593,-0.3767072,-0.21227562,0.07742296,0.867891,0.56931597,0.2708068,1.108663,-1.1241586,-0.46974134,1.9669704,5.024707,-1.0983075,0.99605393
