sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,vgg_pca_000,vgg_pca_001,vgg_pca_002,vgg_pca_003,vgg_pca_004,vgg_pca_005,vgg_pca_006,vgg_pca_007,vgg_pca_008,vgg_pca_009,vgg_pca_010,vgg_pca_011,vgg_pca_012,vgg_pca_013,vgg_pca_014,vgg_pca_015,vgg_pca_016,vgg_pca_017,vgg_pca_018,vgg_pca_019,vgg_pca_020,vgg_pca_021,vgg_pca_022,vgg_pca_023,vgg_pca_024,vgg_pca_025,vgg_pca_026,vgg_pca_027,vgg_pca_028,vgg_pca_029,vgg_pca_030,vgg_pca_031,vgg_pca_032,vgg_pca_033,vgg_pca_034,vgg_pca_035,vgg_pca_036,vgg_pca_037,vgg_pca_038,vgg_pca_039,vgg_pca_040,vgg_pca_041,vgg_pca_042,vgg_pca_043,vgg_pca_044,vgg_pca_045,vgg_pca_046,vgg_pca_047,vgg_pca_048,vgg_pca_049,vgg_pca_050,vgg_pca_051,vgg_pca_052,vgg_pca_053,vgg_pca_054,vgg_pca_055,vgg_pca_056,vgg_pca_057,vgg_pca_058,vgg_pca_059,vgg_pca_060,vgg_pca_061,vgg_pca_062,vgg_pca_063,vgg_pca_064,vgg_pca_065,vgg_pca_066,vgg_pca_067,vgg_pca_068,vgg_pca_069,vgg_pca_070,vgg_pca_071,vgg_pca_072,vgg_pca_073,vgg_pca_074
PASD:1024x768___1446670895,PASD,1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___1446670895.png,test,6.3555603,-18.171188,-20.560751,7.537769,8.583662,-12.13909,-23.975443,5.931511,20.97745,-2.6199925,-2.856927,-3.9588366,2.3030498,2.5425787,-10.422899,7.4700327,-1.3583646,5.94317,2.8265638,-3.3485372,1.1333327,-3.5681977,-1.6015064,-8.985926,-2.2071693,-4.9732823,-3.5634782,-8.796934,5.7285643,-2.7011251,-2.1942673,-3.491241,-3.5215943,-5.005218,5.268174,-1.675648,5.681736,4.077936,-4.130448,-9.223723,3.617947,1.9121256,-0.85066235,-3.303465,1.4538515,-3.2421825,-5.468666,6.4788923,3.0442414,-0.8269315,-6.997118,-3.092597,0.41902375,9.886618,-1.9995434,11.609472,9.404088,5.804681,-2.404116,-4.2997017,6.506131,7.2191224,-4.871194,-10.517332,0.5791545,11.2020645,0.9598869,-13.225455,7.007371,1.2951379,6.6457705,-2.2610269,-5.3119335,0.4092123,-1.2025349
PASD:1024x768___1795186582,PASD,1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___1795186582.png,train,-5.5904408,-21.884048,-7.833473,11.104774,6.981271,5.587624,-2.200438,-0.026099026,-6.6005154,-4.8257346,-7.2183495,7.1445513,2.3355746,15.505083,12.249426,-15.974483,-7.65847,9.64547,-4.365527,19.327,6.0094433,1.2098855,4.1434116,-10.464981,2.765185,17.431383,9.937356,15.228017,-1.8407685,-2.6918006,0.66842055,-1.4215939,0.903629,-2.2635221,0.7279717,-4.262107,-2.4590144,-9.002249,-0.64879465,2.1463935,-5.90876,-7.2255726,8.593804,-7.1848307,8.932013,-0.51363647,12.579627,-2.1713367,0.32288432,-9.786231,-0.32423505,7.075105,1.4616816,7.610729,3.103824,6.320525,6.927623,-10.892853,12.848529,9.269838,-13.864685,-3.3718324,-0.032995045,-5.3792024,-7.0622263,-16.554304,-9.15757,-0.16249576,3.5871685,-12.35974,3.804214,0.27709836,21.19819,-7.557224,11.820135
PASD:1024x768___2047083409,PASD,1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2047083409.png,test,1.0767727,-32.002445,-17.032425,7.098399,-1.4063604,-25.906939,10.848164,10.572381,14.812365,9.843315,-2.541072,2.869409,11.589847,10.24342,3.4576933,-6.4368687,8.734028,18.207436,-10.2703705,-7.6373835,-0.7117778,-13.829008,1.7277896,1.7209095,-2.6151264,10.317797,5.424651,17.556349,-2.0721831,-10.270714,4.6593266,-3.6761136,-4.9178047,4.837845,-12.91588,-12.560194,3.8425899,2.8326688,0.528636,6.3951826,-11.05404,10.704478,1.1009438,2.589374,4.7353535,-3.44862,1.6093794,3.0041976,-2.7848172,-0.5016826,8.247032,4.9026146,-7.612537,-3.278113,-0.40596318,-6.7877154,-9.318855,-3.5473013,3.6028826,10.031824,-7.539021,-4.541826,2.5456674,-15.429009,-6.9439373,-9.243897,1.6760194,-7.7793913,-1.2802961,1.7408776,13.12022,13.756636,6.8695087,-10.994462,9.509796
PASD:1024x768___2063914625,PASD,1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2063914625.png,test,11.796474,-26.668972,-31.001577,-7.049293,8.457534,-8.738955,10.004029,0.38124424,15.70385,-9.419445,5.855323,-5.9119616,6.1496115,6.1570053,-16.124807,-2.187706,-1.9667511,-2.6433215,-2.4070327,-3.3715749,-9.869767,-9.405593,-20.000673,-0.03346777,-9.596497,6.0189657,2.3249218,3.1923227,2.2147493,11.711398,17.918274,8.652484,4.0917454,-5.501523,-9.436746,-1.9169915,6.858047,-1.9888728,-7.3542666,-0.47212407,6.1776867,9.175767,-7.4258127,0.9952886,-0.66396666,-9.041185,-5.004978,-3.9948459,7.1311274,4.4149365,-5.8208513,-6.6877112,0.74952793,-5.4184036,0.5794039,6.2418838,10.722439,0.059484154,-1.1848384,11.242888,2.8627324,1.0197229,3.9679058,-0.98248893,-3.606418,2.5533304,-5.54356,-4.4492593,-0.51515466,-2.7911048,-4.5680566,0.044093847,-8.650254,5.5309534,-1.2885692
PASD:1024x768___223186789,PASD,1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___223186789.png,train,0.45799446,-14.029184,15.480325,-20.609806,-24.945898,-4.3356023,2.326631,-3.8130167,-6.2285676,9.636772,-10.829904,-1.286664,-4.917915,11.318067,18.322254,1.8688817,18.325962,-6.483454,-6.390877,7.1227036,12.56134,17.17351,4.9186287,-5.9242587,-12.97191,8.49218,1.1707535,-3.254374,-19.998228,-3.2917671,-6.085145,-2.7999322,-4.2293043,9.48861,-12.108783,2.7112088,-3.4024749,1.8099599,5.735509,11.430697,-2.8485317,-17.35233,-9.756159,-25.598934,-0.2400322,8.0396,1.3628098,5.990898,15.81752,-2.7127426,-1.1597031,9.025804,5.238186,3.815996,-11.079289,14.309414,-7.579561,2.4526367,15.603054,1.1237354,-12.442905,9.168902,3.2686374,-11.685934,-7.3780737,5.1107097,-6.0429087,9.155601,-6.2284718,-0.731926,-5.4293375,15.353666,9.743827,-19.432577,5.564849
PASD:1024x768___2688438615,PASD,1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2688438615.png,test,-17.019104,3.0029821,-17.018465,5.898119,6.5993605,8.228121,-1.9827046,-5.4599414,2.4452581,2.2067952,-1.0781271,1.207797,-4.1601543,1.590373,6.649341,4.6782436,5.0554967,3.7498884,7.2780166,6.472991,-0.38858092,2.5167327,-2.0010562,6.2781763,-1.0473185,0.640175,4.1644754,7.7989697,3.6863937,-0.23839402,-2.9236822,-4.040848,1.0472779,-2.9285517,-2.4220457,-1.7810409,10.301437,-3.3588018,1.703064,8.053416,-0.071333885,0.50203675,-0.4541217,-6.9893837,1.2096153,4.452745,-2.227487,5.3739767,2.15837,-0.93446356,2.8775883,4.6657753,-5.4973335,-1.5710125,2.1364121,1.659276,3.505341,-1.2053068,0.60681677,-1.5203776,-1.5384674,-2.3609443,-1.2033833,-0.39909962,0.4494896,-5.958484,-0.21188402,-0.27089474,-8.591136,-1.2044951,6.2271404,1.0451975,1.6032398,1.1140139,-2.3717983
PASD:1024x768___3092999912,PASD,1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___3092999912.png,test,-15.680245,2.275566,-28.915876,1.3585604,1.9062378,-9.164799,-8.046249,7.111167,17.06567,-7.20141,5.824442,-1.5195715,1.4020982,-0.18956599,5.938182,10.383768,2.3995156,-0.12342048,8.0952425,0.3976469,4.9338865,4.8108263,13.330931,-0.4933411,-0.6147771,3.2745094,2.337006,7.464582,1.4115875,-0.24810827,-0.86598873,-1.5355531,3.3888752,3.835547,0.08067846,1.2374728,7.256846,0.37816337,-1.350019,-1.0623714,-3.62124,10.183809,4.921618,-0.72760534,2.887012,-5.0559263,-2.9145255,-6.4248486,1.3598684,0.73143667,2.1437593,2.4845657,-4.6299515,-7.7639837,1.1200793,0.26362765,-1.8046421,-4.1642694,4.456959,2.2236352,1.9725517,-0.6999042,3.4604971,-0.6484623,0.44849753,1.2831813,-1.910327,0.86528635,-2.6223416,-4.8552217,3.1382651,-0.6483753,-1.6585407,1.740298,-2.6996355
PASD:1024x768___38056572,PASD,1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___38056572.png,test,9.408031,-15.857475,-15.71737,18.188648,7.71657,11.332649,-6.7780366,-19.242435,15.454634,5.7217135,-8.0112705,-4.374339,-7.981358,17.044617,-12.085907,-8.4644785,5.445945,-7.235015,-2.838047,10.133159,-8.801403,-8.296196,-6.895747,0.24789715,-10.511039,-3.1595976,9.743429,2.8426876,-2.8170924,0.3017624,-10.107995,1.5538845,3.6055343,-9.243189,3.0245402,8.025412,3.1757517,3.713616,-14.456795,-4.0120983,8.222315,7.817711,-6.52639,-7.9762726,5.5867863,-7.6737413,-1.078245,0.5656097,-2.5992503,-0.24176407,0.914469,1.704218,5.0977664,-1.0199299,1.1089686,2.242227,-3.137363,-5.2419286,-1.6999528,7.4866734,-1.3460689,-3.7349086,-2.2841322,-0.21651313,3.4367118,-0.8370969,-0.6179795,-2.3700721,-9.659258,-5.0258465,2.2988544,-6.6102366,0.2758016,0.15394962,6.263235
PASD:1024x768___3956832242,PASD,1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___3956832242.png,train,-8.694614,0.773016,-28.643166,-21.265295,-11.5543,2.9477105,-33.618286,22.752481,3.077332,-14.118838,8.642702,-0.38791943,-13.573586,4.3537006,16.134708,3.3996468,-5.6278296,-9.927643,3.8923254,-6.7550907,7.675275,20.024734,-4.7464485,-6.9741125,6.4165473,-1.5953985,5.292448,6.942759,-1.8561219,-5.7115026,8.648415,7.174681,1.0459828,0.07385123,2.0201828,8.351139,12.942341,-5.1898527,6.6777368,4.784332,8.680305,-4.857986,-4.1018076,3.8458831,-6.7971163,8.424395,-4.481301,2.1514852,2.7853208,3.8169606,4.3673964,4.8909883,-8.267012,8.917967,-2.01498,-4.7156367,-5.130711,-3.4253645,-0.10487032,6.3651476,0.58874965,-7.8997226,3.0493405,-1.2206349,-10.028435,-1.1501968,-4.84972,-2.88989,-9.718776,4.218713,11.50631,-1.8955245,-0.2537073,0.49750096,4.0231705
PASD:1024x768___4042245241,PASD,1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4042245241.png,test,-22.249796,2.1792555,9.976108,0.14660084,5.0296593,1.7819037,-3.4427485,-5.4041324,3.8642316,6.7289705,-0.8505976,0.47759628,3.154273,2.5095341,2.4568653,4.3754654,1.9655204,-2.065033,4.441544,-2.2675104,-4.03607,-1.2813402,-7.516079,2.73351,1.2345142,1.8184028,1.4965338,-1.2325172,3.5260339,-0.7538254,-0.60548735,-2.3954756,3.37079,1.2833896,-3.2756512,-1.395592,6.4785905,-2.8016229,0.99461126,1.6903331,-0.33753896,0.60872257,-4.827868,1.880803,1.2009429,1.8586812,0.83377516,0.64319324,0.64491737,-1.9923439,-0.17104992,-2.0815077,-0.8251225,-4.247012,-2.3340461,4.752963,-1.4880034,-0.36402905,-3.204824,-3.0383213,-2.7284422,-0.5788026,0.32478952,-0.4201677,-3.7453713,4.3945174,0.15383172,-1.0672802,0.9097116,-1.1789674,0.113258004,-4.9528503,0.26187074,1.5527701,-3.6765082
