sample_id,sr_method,sr_filename,sr_path,dataset,test_case,rel_path,gt_path,lr_path,set_type,vgg_pca_000,vgg_pca_001,vgg_pca_002,vgg_pca_003,vgg_pca_004,vgg_pca_005,vgg_pca_006,vgg_pca_007,vgg_pca_008,vgg_pca_009,vgg_pca_010,vgg_pca_011,vgg_pca_012,vgg_pca_013,vgg_pca_014,vgg_pca_015,vgg_pca_016,vgg_pca_017,vgg_pca_018,vgg_pca_019,vgg_pca_020,vgg_pca_021,vgg_pca_022,vgg_pca_023,vgg_pca_024,vgg_pca_025,vgg_pca_026,vgg_pca_027,vgg_pca_028,vgg_pca_029,vgg_pca_030,vgg_pca_031,vgg_pca_032,vgg_pca_033,vgg_pca_034,vgg_pca_035,vgg_pca_036,vgg_pca_037,vgg_pca_038,vgg_pca_039,vgg_pca_040,vgg_pca_041,vgg_pca_042,vgg_pca_043,vgg_pca_044,vgg_pca_045,vgg_pca_046,vgg_pca_047,vgg_pca_048,vgg_pca_049,vgg_pca_050,vgg_pca_051,vgg_pca_052,vgg_pca_053,vgg_pca_054,vgg_pca_055,vgg_pca_056,vgg_pca_057,vgg_pca_058,vgg_pca_059,vgg_pca_060,vgg_pca_061,vgg_pca_062,vgg_pca_063,vgg_pca_064,vgg_pca_065,vgg_pca_066,vgg_pca_067,vgg_pca_068,vgg_pca_069,vgg_pca_070,vgg_pca_071,vgg_pca_072,vgg_pca_073,vgg_pca_074
QualiSR-Set120/PASD/1024x768___4962875195.npy.gz,PASD,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,PASD/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-7.381428,-9.208598,-7.3646207,-13.14072,-0.83698463,-3.4978352,-19.810236,-17.72239,-10.898531,-19.396362,-19.90268,-11.578148,-8.150194,-37.890793,18.624626,37.96631,-21.138908,-79.10491,-60.735287,60.87979,1.1451417,6.8201823,-1.4039744,12.956085,-6.0696907,0.25314093,4.954694,-4.15413,-1.3409376,-2.0712137,-2.688387,0.035357952,-0.9276999,1.194749,0.51431334,1.0503788,-1.2739844,-0.32774666,-0.3638426,1.2482035,-0.11380792,0.19271946,-0.48219132,0.014319658,0.34757805,-1.05719,-0.30945766,0.33068037,0.8554638,0.17890751,0.0066658854,-0.94396853,-0.45488387,-1.1286672,0.62519014,-0.28712893,-0.73096424,-0.7043241,0.5610564,0.099740446,-0.61477333,0.6605963,0.019842103,1.4110036,0.33459425,-0.62082434,-0.9337268,-0.42279887,1.2925301,-4.1704755,0.073494315,6.630653,-2.6868434,-2.6555927,-0.4442386
QualiSR-Set120/RealESRGAN/1024x768___4962875195.npy.gz,RealESRGAN,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,RealESRGAN/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-6.692154,-8.523822,-6.048954,-12.831734,-1.0995197,-2.0874863,-20.287477,-16.801416,-12.393892,-19.304455,-21.338491,-11.6130295,-7.38322,-38.656803,18.612783,39.64117,-20.003973,-80.586105,-61.659916,62.331757,2.13234,7.306043,-1.2769283,11.928478,-5.9400916,-0.91825056,5.559738,-3.4823236,-0.2686653,-2.3415031,-3.1389527,0.17268682,-0.052687407,-1.2706488,0.45649934,0.6292691,0.8367319,1.9490381,-0.8121569,1.0552642,-0.113829255,0.8562055,-1.636126,1.6015799,-0.05165577,2.0823302,-2.3349955,0.36925197,-0.37716937,1.2094584,-2.9555256,1.2096968,0.9935693,0.11445588,0.13950574,0.9929491,-0.2541622,0.57599187,-2.0935771,0.7843264,1.2023884,-1.2478023,-1.3647298,-1.002568,-1.2305094,2.5521152,1.0024185,-3.123463,-10.408263,16.744776,-3.6842914,-36.2726,22.514404,11.831733,2.6929924
QualiSR-Set120/SUPIR/1024x768___4962875195.npy.gz,SUPIR,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,SUPIR/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-7.096072,-7.8423004,-7.5489035,-13.9062605,0.4593562,-3.1986723,-19.993057,-17.65305,-11.687019,-20.367165,-20.990076,-13.22408,-8.054955,-39.17352,19.715727,40.671024,-20.134027,-81.97714,-62.738995,62.705826,2.0922182,6.4950128,-3.290781,15.218384,-7.3121285,-0.0029473305,6.641391,-5.046465,0.4224081,0.09572855,-0.4858203,-0.3270824,-0.90725815,2.1472325,-0.94127834,1.1716774,-1.3586478,-2.0229225,1.2312748,-0.19502413,-0.45790422,-1.1748743,1.0370281,-1.9618623,0.012926102,-0.08881283,1.3769327,-0.55911803,-2.4208965,-2.1205604,3.572369,-0.691996,-1.0707364,1.1742885,-0.7392203,-0.9103799,0.7105247,0.11605483,0.5717119,-0.041648746,-1.1309474,1.599731,1.4484838,1.0172588,0.63309324,-1.4695117,-0.6508193,4.241398,9.41634,-12.523624,3.6504018,29.365387,-19.024662,-8.69164,-2.423538
QualiSR-Set120/PASD/ava_images___101816.npy.gz,PASD,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___101816.png,QualiSR-Set120,ava_images___101816,PASD/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,2.8614445,30.58119,-8.964408,-14.658039,33.206665,-9.661054,8.114983,-12.527761,-26.274662,-13.929259,6.4983006,-7.7839828,-13.758879,38.57222,20.575596,7.925169,-36.821198,-36.626747,132.69518,54.033043,-23.605587,34.434635,13.443833,11.559488,5.856784,13.668269,10.277766,7.132276,-8.550868,3.7433844,1.6222328,-4.272668,-3.9941435,4.5370555,10.738662,-13.009004,19.478153,10.049367,-9.998157,36.591595,23.427065,-24.44683,-15.50987,2.227501,19.115612,-4.7962923,4.5260396,4.1369414,1.4683464,-0.09275274,2.2937288,-3.506485,-1.3025713,0.4981305,-3.8218894,-1.8436209,-1.1691058,0.61788034,0.17941833,-4.9449134,-13.490887,-9.383776,10.467154,1.3647361,-4.4255366,-1.1089768,1.2563941,0.013419867,-0.3418693,0.5112051,-1.161822,1.3554456,1.7865535,1.3756492,-1.4134738
QualiSR-Set120/RealESRGAN/ava_images___101816.npy.gz,RealESRGAN,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___101816.png,QualiSR-Set120,ava_images___101816,RealESRGAN/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,-9.521119,3.330679,-9.361008,-12.088419,12.52686,-13.376311,-3.2728467,-13.503744,-15.392263,-8.652542,-2.282287,-10.041435,-11.889854,19.5148,6.4324055,5.636378,-20.848204,-18.54612,68.472595,21.710623,-7.7423306,9.607065,4.8273096,0.7739582,0.6237962,-0.6163192,-2.3552084,5.51692,8.688459,-4.221466,-2.392417,6.24253,7.700449,-8.1699,-12.82144,13.455203,-20.8708,-14.521916,12.651779,-37.77917,-25.33085,28.011354,19.008623,-3.041852,-16.231297,4.608378,-5.3140287,-4.888596,-1.1298223,2.4253588,-0.95537984,-0.9694437,2.1073217,0.6935417,-5.9934144,-1.0712229,-1.2346307,0.08457911,2.5408113,-9.898554,-28.43211,-20.273388,24.117382,-2.281722,-7.7289014,-3.7965603,2.6154199,2.0185215,0.26530057,2.671392,-2.1693,2.6093876,3.5378876,3.1414876,3.0291076
QualiSR-Set120/SUPIR/ava_images___101816.npy.gz,SUPIR,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___101816.png,QualiSR-Set120,ava_images___101816,SUPIR/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,0.7834797,25.534094,-8.049358,-13.926176,25.070436,-10.738024,1.2904067,-14.10398,-23.284544,-11.612009,-0.059849262,-10.515374,-14.056114,33.428368,14.549063,7.9595213,-30.56023,-30.634762,114.14506,43.574142,-18.57196,25.872417,9.949931,11.74234,4.2038536,6.4996195,5.2392874,5.292101,0.94468117,-4.3687177,-0.7807342,1.4498783,3.7956016,-2.6502666,-7.190319,5.844258,-6.1194644,-4.6144986,4.8963404,-20.558956,-11.829577,13.320715,7.604169,-0.671841,-15.792017,4.4778457,-2.1409066,-2.7257285,-1.4676898,-0.853036,-1.1749084,3.1886673,0.78356,-2.0188625,8.04379,2.076561,2.10714,-0.90958893,-1.5305368,11.743993,32.80033,22.339134,-26.669067,0.143772,8.952044,4.43521,-3.248285,-0.49380445,0.21612966,-1.5669829,2.6040227,-3.0845034,-4.173822,-3.8287861,0.078181595
QualiSR-Set120/PASD/ava_images___158174.npy.gz,PASD,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___158174.png,QualiSR-Set120,ava_images___158174,PASD/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-18.736448,-15.305958,-2.6177025,-12.90702,-70.488396,191.32445,6.408241,2.2935133,-25.10476,-24.010921,-2.4913857,2.6364737,21.674263,14.908377,3.5753453,-14.24803,-7.2312355,1.3354964,3.4047048,5.334496,2.5079272,-3.3614419,-5.985572,-2.5219607,3.5122929,-0.9180236,-1.6714754,-0.6223817,1.9168968,1.4247146,1.2162684,0.14338064,-1.6024611,1.7694379,-0.91031843,0.036578894,-0.47329998,-0.46931404,-0.78943634,-0.44510642,0.37337697,-1.9348574,3.0030289,-1.8828181,1.6556807,1.2949076,4.7274427,4.62891,0.15785551,-2.4113715,1.5312667,3.0549746,-0.42119092,4.7336183,-3.2835166,3.6592336,-1.8260754,-2.401856,-0.084861755,0.5447013,-7.664354,8.42744,7.3622794,-22.717648,7.4075384,47.358723,2.0748937,2.2565258,-4.4023347,3.8584332,-4.9298334,3.9474254,-2.4006383,-2.252926,1.4686472
QualiSR-Set120/RealESRGAN/ava_images___158174.npy.gz,RealESRGAN,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___158174.png,QualiSR-Set120,ava_images___158174,RealESRGAN/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-13.800049,-13.6189995,-2.9184914,-10.260638,-74.09089,191.9074,6.210918,2.2268171,-24.095276,-21.591434,-4.2521124,4.9455576,21.74573,12.989578,0.58712554,-15.259951,-6.686307,1.4761105,4.4496484,7.8676076,3.3197262,-2.6475458,-3.9130166,0.087179184,3.5615282,-2.3648047,-1.4602094,1.578339,0.43059158,-0.10113782,0.15400004,-2.5110843,2.631929,-2.076067,0.5100335,0.06729722,2.0703936,2.6234667,-1.0059183,-0.8214404,-1.9008672,0.50895035,-5.757538,3.6653042,-1.0267391,-1.5795894,-5.8462586,1.1894277,-0.2468872,-3.3038776,-8.71627,-5.15566,37.110207,29.567978,10.92725,4.661672,16.058823,1.8844949,-2.2858598,-0.061727583,1.0165977,-4.527846,-6.0863595,11.813111,-6.507851,-25.828144,-3.64212,-0.71005964,3.242709,-4.7764683,1.4740672,-0.9725479,1.7905957,2.6806357,-0.8232765
QualiSR-Set120/SUPIR/ava_images___158174.npy.gz,SUPIR,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___158174.png,QualiSR-Set120,ava_images___158174,SUPIR/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-16.21327,-13.174852,-5.0872517,-13.281902,-65.40879,180.09996,9.343391,0.5603256,-25.565145,-21.479042,-3.992382,3.4402657,21.649178,12.09475,0.09774327,-13.619932,-6.455661,2.963876,3.4609125,5.7194333,4.460061,-2.3411365,-5.1781197,-1.6132765,3.117352,-1.5903912,-0.35705185,-2.1890025,1.9418335,0.008756995,-0.8442326,1.8553693,-3.5105548,2.1832476,-0.27569437,-0.21027327,-2.7314417,-3.3533726,1.5552057,0.48604256,1.0746728,0.32975364,3.502962,-1.9212245,-0.19680595,-0.022508144,0.089069724,-7.029668,1.5427307,6.271177,8.539613,2.0876582,-39.210186,-36.105064,-7.864103,-8.640952,-14.658457,1.0258385,2.3386447,-0.42242122,6.5273075,-4.137621,-1.5834427,11.186963,-0.57526267,-22.94141,2.5627835,-1.5004737,1.2847023,0.6514741,3.4869606,-3.040873,0.25540364,-0.1957677,-0.57442456
QualiSR-Set120/PASD/ava_images___18037.npy.gz,PASD,ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___18037.png,QualiSR-Set120,ava_images___18037,PASD/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___18037.png,train,-14.182684,-12.577985,-10.755562,-9.866311,1.3079046,-14.685171,-6.968632,-12.291342,-6.477093,-11.0928955,-3.1016285,-12.473122,-5.4990277,0.14125821,-7.8277426,-2.3154178,-9.717794,1.2610765,5.5607953,-9.434832,7.6325855,-9.751609,-5.320276,-11.02146,-3.3971941,-13.914055,-14.166527,-1.6077381,46.76299,2.749703,-2.1475687,-2.0376647,0.233159,-2.5187721,-8.00541,13.1177225,-28.211248,8.415477,-2.7391596,21.726007,8.920275,-2.44275,-7.1902113,7.9259853,-12.969486,11.387526,1.5393456,-1.1997752,0.13871038,-0.8184981,-0.9522352,1.5175998,-0.28401244,0.77710134,-0.23575556,-0.65614164,-0.02890867,0.61863345,0.39493144,-0.086616725,-0.25424904,0.69029623,-0.6676787,-0.19482642,-1.1173736,-0.19160083,-0.15094274,-0.062454224,0.14184129,0.5399512,0.929723,0.3875647,0.038024843,-0.2844013,-0.5681404
