sample_id,sr_method,sr_filename,sr_path,dataset,test_case,rel_path,gt_path,lr_path,set_type,vgg_pca_000,vgg_pca_001,vgg_pca_002,vgg_pca_003,vgg_pca_004,vgg_pca_005,vgg_pca_006,vgg_pca_007,vgg_pca_008,vgg_pca_009,vgg_pca_010,vgg_pca_011,vgg_pca_012,vgg_pca_013,vgg_pca_014,vgg_pca_015,vgg_pca_016,vgg_pca_017,vgg_pca_018,vgg_pca_019,vgg_pca_020,vgg_pca_021,vgg_pca_022,vgg_pca_023,vgg_pca_024
QualiSR-Set120/PASD/1024x768___4962875195.npy.gz,PASD,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,PASD/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-4.3575573,-8.770071,-6.5897865,-15.1787815,-4.0960236,-3.779344,-24.373661,3.4154844,-13.419216,-21.08683,-17.468328,-5.508192,15.428644,-62.697117,37.499233,-21.47843,72.42696,-69.63835,24.167202,1.9624181,0.54603815,4.2557054,2.7575161,2.582415,-2.720303
QualiSR-Set120/RealESRGAN/1024x768___4962875195.npy.gz,RealESRGAN,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,RealESRGAN/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-4.1557107,-8.13797,-5.2145977,-15.315523,-2.4072437,-3.3198242,-24.816795,2.5231767,-12.331284,-21.469387,-18.405865,-5.2756605,16.889706,-62.41185,36.995518,-20.997112,73.23497,-68.03414,24.464272,3.1316917,-0.18974257,4.0031047,2.064294,2.1010923,-2.1137147
QualiSR-Set120/SUPIR/1024x768___4962875195.npy.gz,SUPIR,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,SUPIR/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-4.3288054,-7.80231,-6.6295943,-15.916414,-4.6898766,-2.7878704,-25.702732,2.7944798,-13.840445,-23.076965,-19.432579,-4.7564793,16.743155,-67.037476,41.095276,-22.987692,79.631355,-73.30284,26.24696,1.7960217,-0.23017216,4.287632,4.852474,2.5241523,-5.079582
QualiSR-Set120/PASD/ava_images___101816.npy.gz,PASD,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___101816.png,QualiSR-Set120,ava_images___101816,PASD/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,3.3668776,26.021605,-9.383995,-4.484806,-22.290476,23.12536,-0.5095291,7.1006975,-10.258154,3.9326935,-26.17716,-2.0335314,-4.328674,16.336388,19.052824,3.7366014,-6.7709036,-3.4613495,-25.938438,-10.2359,-65.40842,-43.03096,-9.084621,121.790344,6.8662105
QualiSR-Set120/RealESRGAN/ava_images___101816.npy.gz,RealESRGAN,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___101816.png,QualiSR-Set120,ava_images___101816,RealESRGAN/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,-6.468025,1.6162586,-9.219551,-6.5337825,-17.715464,3.0083127,-7.067267,5.890536,-6.5871563,-5.518894,-17.822083,-2.905277,-5.4851995,7.034791,10.339248,5.914152,-6.685748,-1.0222911,-22.723652,-8.523103,-44.27842,-24.263563,-5.0939527,67.03664,3.8942087
QualiSR-Set120/SUPIR/ava_images___101816.npy.gz,SUPIR,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___101816.png,QualiSR-Set120,ava_images___101816,SUPIR/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,1.9270325,22.279287,-8.596027,-5.629096,-20.131649,15.528706,-6.128605,7.3017716,-7.652132,-2.6279588,-25.361954,-3.2938888,-5.118735,14.526893,15.682964,5.836452,-5.943106,-1.4919662,-26.50079,-11.181094,-60.45668,-37.08043,-4.9794197,108.343666,5.2249346
QualiSR-Set120/PASD/ava_images___158174.npy.gz,PASD,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___158174.png,QualiSR-Set120,ava_images___158174,PASD/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-15.670737,-10.287118,-0.40806675,-68.750145,185.68427,34.357494,0.9902973,-6.39198,-12.677274,2.4433136,-11.749914,18.144999,14.54566,19.263203,-3.147712,-7.948972,-7.7926226,-7.4645977,2.3267155,-4.188742,-5.3701878,-4.317994,3.1749938,-0.039711952,3.8131204
QualiSR-Set120/RealESRGAN/ava_images___158174.npy.gz,RealESRGAN,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___158174.png,QualiSR-Set120,ava_images___158174,RealESRGAN/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-11.088375,-8.235665,-0.40625572,-66.86438,188.3192,31.640896,1.5262747,-6.0616837,-10.638209,1.7779322,-10.016558,16.276144,15.926125,18.447124,-7.305369,-7.486276,-7.624451,-8.449197,4.0043077,-3.730878,-6.1900244,-2.6013246,4.242503,2.0376267,3.9687626
QualiSR-Set120/SUPIR/ava_images___158174.npy.gz,SUPIR,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___158174.png,QualiSR-Set120,ava_images___158174,SUPIR/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-13.609152,-9.079884,-2.7355309,-68.39032,182.33533,35.3093,4.2237835,-4.9907227,-11.695234,1.6754999,-13.793835,18.084936,16.938295,18.710705,-6.969396,-6.1168075,-9.224041,-8.281398,2.9687538,-2.7466888,-7.493042,-3.9212532,3.9674222,-0.83270466,3.5302482
QualiSR-Set120/PASD/ava_images___18037.npy.gz,PASD,ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___18037.png,QualiSR-Set120,ava_images___18037,PASD/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___18037.png,train,-9.670869,-13.088016,-9.648915,-6.6685014,-14.348804,-7.2849565,-8.279852,3.2019958,-9.070869,-10.01257,-9.516134,3.315319,-5.968201,-2.2999332,-2.7809324,6.6626806,-11.608144,-1.8858528,-13.4829,-1.6350801,-12.218416,-3.1215422,0.7226336,-4.470269,-0.17018986
QualiSR-Set120/RealESRGAN/ava_images___18037.npy.gz,RealESRGAN,ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___18037.png,QualiSR-Set120,ava_images___18037,RealESRGAN/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___18037.png,train,-10.0530405,-12.624351,-9.418834,-6.0481606,-14.106571,-7.5490246,-8.534072,3.2046459,-9.710668,-9.681303,-9.393387,3.5307736,-6.044294,-1.4615462,-3.4430416,6.634963,-11.543772,-2.1592498,-12.68815,-1.4336946,-11.940468,-3.4776037,0.6872761,-4.7092657,1.2011383
