sample_id,sr_method,sr_filename,sr_path,dataset,test_case,rel_path,gt_path,lr_path,set_type,resnet_pca_000,resnet_pca_001,resnet_pca_002,resnet_pca_003,resnet_pca_004,resnet_pca_005,resnet_pca_006,resnet_pca_007,resnet_pca_008,resnet_pca_009
QualiSR-Set120/PASD/1024x768___4962875195.npy.gz,PASD,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,PASD/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-0.4635557,1.2235806,0.7625835,0.50290585,1.2008253,-4.4396253,2.6983757,1.0948076,-4.891676,-1.9395708
QualiSR-Set120/RealESRGAN/1024x768___4962875195.npy.gz,RealESRGAN,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,RealESRGAN/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-0.59973454,1.388896,1.0330242,0.4013037,1.1933202,-4.076585,2.843406,1.2425934,-4.7673516,-1.9391038
QualiSR-Set120/SUPIR/1024x768___4962875195.npy.gz,SUPIR,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,SUPIR/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-0.6104256,1.297857,0.69989383,0.486508,1.2147409,-4.429441,2.8135018,1.1838653,-4.966007,-2.0875304
QualiSR-Set120/PASD/ava_images___101816.npy.gz,PASD,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___101816.png,QualiSR-Set120,ava_images___101816,PASD/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,1.3407465,-1.9825732,-0.50057864,1.5196187,-1.0566549,-3.429873,-0.6949176,-1.1883012,-0.7804772,-0.018524919
QualiSR-Set120/RealESRGAN/ava_images___101816.npy.gz,RealESRGAN,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___101816.png,QualiSR-Set120,ava_images___101816,RealESRGAN/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,1.53224,-1.5544802,-0.86667705,1.0786513,-1.5129954,-3.3365226,-0.7342615,-1.2165726,-0.85998046,-0.55260646
QualiSR-Set120/SUPIR/ava_images___101816.npy.gz,SUPIR,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___101816.png,QualiSR-Set120,ava_images___101816,SUPIR/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,1.4292896,-1.8600478,-0.65151465,1.3360909,-1.2569827,-3.5191379,-0.6499917,-1.1747614,-0.8624973,-0.12319775
QualiSR-Set120/PASD/ava_images___158174.npy.gz,PASD,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___158174.png,QualiSR-Set120,ava_images___158174,PASD/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-3.9191093,0.533026,5.212478,-4.7892084,-1.3830065,2.7648118,-3.1061816,2.6549044,-0.36203015,3.6977246
QualiSR-Set120/RealESRGAN/ava_images___158174.npy.gz,RealESRGAN,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___158174.png,QualiSR-Set120,ava_images___158174,RealESRGAN/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-4.3856173,0.831527,5.087748,-4.7524204,-1.1392889,3.1596797,-3.1659117,2.9424517,-0.0031207204,4.16233
QualiSR-Set120/SUPIR/ava_images___158174.npy.gz,SUPIR,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___158174.png,QualiSR-Set120,ava_images___158174,SUPIR/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-4.162354,0.2048204,5.7460403,-5.2571898,-1.4272902,3.2759016,-2.9980497,2.6918416,-0.37118077,3.2863107
QualiSR-Set120/PASD/ava_images___18037.npy.gz,PASD,ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___18037.png,QualiSR-Set120,ava_images___18037,PASD/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___18037.png,train,8.764364,2.0688527,3.7285254,2.7697258,-0.016516434,2.9790242,-1.0191532,0.20797299,0.15076923,-0.3108573
