sample_id,sr_method,sr_filename,sr_path,dataset,test_case,rel_path,gt_path,lr_path,set_type,vgg_pca_000,vgg_pca_001,vgg_pca_002,vgg_pca_003,vgg_pca_004,vgg_pca_005,vgg_pca_006,vgg_pca_007,vgg_pca_008,vgg_pca_009,vgg_pca_010,vgg_pca_011,vgg_pca_012,vgg_pca_013,vgg_pca_014,vgg_pca_015,vgg_pca_016,vgg_pca_017,vgg_pca_018,vgg_pca_019,vgg_pca_020,vgg_pca_021,vgg_pca_022,vgg_pca_023,vgg_pca_024,vgg_pca_025,vgg_pca_026,vgg_pca_027,vgg_pca_028,vgg_pca_029,vgg_pca_030,vgg_pca_031,vgg_pca_032,vgg_pca_033,vgg_pca_034,vgg_pca_035,vgg_pca_036,vgg_pca_037,vgg_pca_038,vgg_pca_039,vgg_pca_040,vgg_pca_041,vgg_pca_042,vgg_pca_043,vgg_pca_044,vgg_pca_045,vgg_pca_046,vgg_pca_047,vgg_pca_048,vgg_pca_049
QualiSR-Set120/PASD/1024x768___4962875195.npy.gz,PASD,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,PASD/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-4.3575573,-8.770071,-6.5897865,-15.1787815,-4.0960236,-3.779344,-24.373661,3.4154844,-13.419216,-21.08683,-17.468328,-5.508192,15.428644,-62.697117,37.499233,-21.47843,72.42696,-69.63835,24.167202,1.9624181,0.54603815,4.2557054,2.7575161,2.582415,-2.720303,1.2653427,3.073504,0.009473801,1.3159003,-0.0035820007,-1.3011782,-2.2155123,2.679687,0.8054297,-2.078055,-1.2691193,-0.13246663,-2.3006022,-0.5865134,-0.769469,-0.19159675,-1.6567793,-0.3165145,0.40800524,1.8856859,0.13164234,0.56495804,1.5744388,0.6258661,1.0039219
QualiSR-Set120/RealESRGAN/1024x768___4962875195.npy.gz,RealESRGAN,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,RealESRGAN/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-4.1557107,-8.13797,-5.2145977,-15.315523,-2.4072437,-3.3198242,-24.816795,2.5231767,-12.331284,-21.469387,-18.405865,-5.2756605,16.889706,-62.41185,36.995518,-20.997112,73.23497,-68.03414,24.464272,3.1316917,-0.18974257,4.0031047,2.064294,2.1010923,-2.1137147,0.07701969,3.3746848,0.7883606,1.0879354,-0.76451683,1.3873947,-2.4983487,4.02595,0.5225096,-1.0323622,-2.4243255,1.294369,-1.8872114,0.08554196,-2.5875087,-0.054777503,-6.0677247,-0.83822584,1.2952963,2.2879665,-1.2319846,-0.100273296,2.854506,-0.58741665,0.5049504
QualiSR-Set120/SUPIR/1024x768___4962875195.npy.gz,SUPIR,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,SUPIR/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-4.3288054,-7.80231,-6.6295943,-15.916414,-4.6898766,-2.7878704,-25.702732,2.7944798,-13.840445,-23.076965,-19.432579,-4.7564793,16.743155,-67.037476,41.095276,-22.987692,79.631355,-73.30284,26.24696,1.7960217,-0.23017216,4.287632,4.852474,2.5241523,-5.079582,1.064043,4.815274,-1.3726444,-1.442039,0.24714565,-1.436563,-0.0228436,-0.4595785,0.71689415,-0.16438347,-0.34310913,0.08946039,0.0858376,0.35160542,0.41918433,-0.57802373,0.9103074,0.3917365,-0.67972994,-0.1815927,-0.6959524,-0.33203208,-0.45838344,1.4759533,-0.3879498
QualiSR-Set120/PASD/ava_images___101816.npy.gz,PASD,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___101816.png,QualiSR-Set120,ava_images___101816,PASD/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,3.3668776,26.021605,-9.383995,-4.484806,-22.290476,23.12536,-0.5095291,7.1006975,-10.258154,3.9326935,-26.17716,-2.0335314,-4.328674,16.336388,19.052824,3.7366014,-6.7709036,-3.4613495,-25.938438,-10.2359,-65.40842,-43.03096,-9.084621,121.790344,6.8662105,39.990517,18.837921,28.94933,0.34785366,4.945469,13.858715,5.985816,26.74043,18.181244,27.925394,-45.591934,-32.32038,-31.03344,-2.9790587,-2.0988533,5.794489,4.124329,-18.29744,-0.04517436,2.4714494,4.480189,-1.9079163,-5.6560726,-1.3665483,1.5508623
QualiSR-Set120/RealESRGAN/ava_images___101816.npy.gz,RealESRGAN,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___101816.png,QualiSR-Set120,ava_images___101816,RealESRGAN/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,-6.468025,1.6162586,-9.219551,-6.5337825,-17.715464,3.0083127,-7.067267,5.890536,-6.5871563,-5.518894,-17.822083,-2.905277,-5.4851995,7.034791,10.339248,5.914152,-6.685748,-1.0222911,-22.723652,-8.523103,-44.27842,-24.263563,-5.0939527,67.03664,3.8942087,12.195098,3.2235646,8.933471,-6.679415,-1.9142039,-4.027426,-4.4821978,-11.1259165,-9.393784,-14.199825,19.218786,14.861564,14.668297,1.619525,-3.33748,-2.102564,-3.9395537,8.069012,1.2716322,-1.0351179,-2.9679523,-0.15359606,2.1146603,-0.27064043,-0.019173741
QualiSR-Set120/SUPIR/ava_images___101816.npy.gz,SUPIR,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___101816.png,QualiSR-Set120,ava_images___101816,SUPIR/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,1.9270325,22.279287,-8.596027,-5.629096,-20.131649,15.528706,-6.128605,7.3017716,-7.652132,-2.6279588,-25.361954,-3.2938888,-5.118735,14.526893,15.682964,5.836452,-5.943106,-1.4919662,-26.50079,-11.181094,-60.45668,-37.08043,-4.9794197,108.343666,5.2249346,30.09209,14.459246,20.246204,-4.150053,2.2486935,4.5020823,-0.928332,9.361366,5.1165895,5.4188147,-12.141242,-4.8027773,-6.6682153,-0.44970405,-4.035966,2.7767985,-0.17296791,-1.3022904,-1.1126862,1.777892,-0.70185614,-1.2437818,-3.9466224,-3.0622303,-0.7485602
QualiSR-Set120/PASD/ava_images___158174.npy.gz,PASD,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___158174.png,QualiSR-Set120,ava_images___158174,PASD/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-15.670737,-10.287118,-0.40806675,-68.750145,185.68427,34.357494,0.9902973,-6.39198,-12.677274,2.4433136,-11.749914,18.144999,14.54566,19.263203,-3.147712,-7.948972,-7.7926226,-7.4645977,2.3267155,-4.188742,-5.3701878,-4.317994,3.1749938,-0.039711952,3.8131204,0.7064476,0.7891326,-0.3091936,1.4812026,-1.4148247,2.086379,0.8521962,4.341829,1.0271561,-1.2327143,-2.2280216,2.74413,0.687083,2.2120998,7.7209873,4.4880714,-12.274994,4.5405807,6.843034,-41.37269,28.59679,14.604684,-8.56715,11.352705,5.0002217
QualiSR-Set120/RealESRGAN/ava_images___158174.npy.gz,RealESRGAN,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___158174.png,QualiSR-Set120,ava_images___158174,RealESRGAN/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-11.088375,-8.235665,-0.40625572,-66.86438,188.3192,31.640896,1.5262747,-6.0616837,-10.638209,1.7779322,-10.016558,16.276144,15.926125,18.447124,-7.305369,-7.486276,-7.624451,-8.449197,4.0043077,-3.730878,-6.1900244,-2.6013246,4.242503,2.0376267,3.9687626,0.29882622,1.2725148,1.8650827,1.7275987,-0.65012264,3.4905481,-0.22392833,5.6382184,3.248736,-3.8399925,-3.8007665,4.700464,1.0945499,3.9224317,7.53474,6.173156,-19.665733,0.21442127,9.009533,-42.65758,29.543423,20.371754,-8.907206,14.555947,3.0225492
QualiSR-Set120/SUPIR/ava_images___158174.npy.gz,SUPIR,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___158174.png,QualiSR-Set120,ava_images___158174,SUPIR/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-13.609152,-9.079884,-2.7355309,-68.39032,182.33533,35.3093,4.2237835,-4.9907227,-11.695234,1.6754999,-13.793835,18.084936,16.938295,18.710705,-6.969396,-6.1168075,-9.224041,-8.281398,2.9687538,-2.7466888,-7.493042,-3.9212532,3.9674222,-0.83270466,3.5302482,-0.31770992,1.8602967,-2.0828562,-0.093716145,-0.19056034,-0.056841373,0.534991,-1.1948175,0.44913578,-0.31424057,0.46695852,-0.8419282,-0.6004318,-1.1614761,-1.6846551,-1.7831746,4.5763626,1.9595985,-2.735799,10.146293,-5.95784,-1.828555,2.9362178,-3.3577504,0.093176514
QualiSR-Set120/PASD/ava_images___18037.npy.gz,PASD,ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___18037.png,QualiSR-Set120,ava_images___18037,PASD/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___18037.png,train,-9.670869,-13.088016,-9.648915,-6.6685014,-14.348804,-7.2849565,-8.279852,3.2019958,-9.070869,-10.01257,-9.516134,3.315319,-5.968201,-2.2999332,-2.7809324,6.6626806,-11.608144,-1.8858528,-13.4829,-1.6350801,-12.218416,-3.1215422,0.7226336,-4.470269,-0.17018986,-19.133385,-12.643414,-24.69616,-23.469524,-24.338013,11.512388,-0.06397158,-1.6396804,-0.17213738,-3.5235043,5.083191,5.989822,-38.283882,5.3137913,7.313138,1.1286159,-12.332987,10.778767,-7.8068075,-3.1535566,-8.147434,-1.6801224,2.563251,1.2367549,0.35650727
