sample_id,sr_method,sr_filename,sr_path,dataset,test_case,rel_path,gt_path,lr_path,set_type,resnet_pca_000,resnet_pca_001,resnet_pca_002,resnet_pca_003,resnet_pca_004,resnet_pca_005,resnet_pca_006,resnet_pca_007,resnet_pca_008,resnet_pca_009,resnet_pca_010,resnet_pca_011,resnet_pca_012,resnet_pca_013,resnet_pca_014,resnet_pca_015,resnet_pca_016,resnet_pca_017,resnet_pca_018,resnet_pca_019,resnet_pca_020,resnet_pca_021,resnet_pca_022,resnet_pca_023,resnet_pca_024
QualiSR-Set120/PASD/1024x768___4962875195.npy.gz,PASD,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,PASD/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-0.92464113,-0.30640095,-1.2390928,-1.1655195,-0.027873516,5.7210665,-4.078964,-4.1161933,-2.574322,1.6544954,-3.2502046,0.2997851,3.4844613,-2.26227,-0.77976656,0.5140808,3.8877158,2.5209744,2.175334,-1.6588918,0.18716212,-0.12151733,-0.46119547,0.5332417,0.44547758
QualiSR-Set120/RealESRGAN/1024x768___4962875195.npy.gz,RealESRGAN,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,RealESRGAN/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-0.9767518,-0.3982234,-1.4904413,-0.9681978,0.07845819,5.497514,-4.1639667,-3.806232,-2.4435084,1.4171181,-3.261223,0.14205599,3.3563733,-2.1421719,-0.892153,0.5094261,3.5462685,2.202583,2.211996,-1.7151706,0.07947777,-0.011856943,-0.43876672,0.4160093,0.4915053
QualiSR-Set120/SUPIR/1024x768___4962875195.npy.gz,SUPIR,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,SUPIR/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-0.84697866,-0.417453,-1.27038,-1.1912225,0.022023082,5.8312335,-4.3002987,-4.14583,-2.6306822,1.6883109,-3.5055816,0.21218158,3.5906816,-2.3716712,-0.84088886,0.6002099,4.070033,2.5205593,2.336811,-1.6368084,0.120764896,-0.069313705,-0.5320802,0.5930733,0.5312054
QualiSR-Set120/PASD/ava_images___101816.npy.gz,PASD,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___101816.png,QualiSR-Set120,ava_images___101816,PASD/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,-1.5266473,0.44009417,1.6888348,-0.7656573,-2.8427343,1.573973,0.26853815,-1.8780911,-0.32272363,-0.009228751,0.37548953,-0.5952499,-1.0540676,-0.4334173,0.10147263,-0.7760571,-1.2436621,0.5882267,-0.6339371,1.5821894,-0.25569946,-1.4121151,0.9976035,-2.8210433,1.0937636
QualiSR-Set120/RealESRGAN/ava_images___101816.npy.gz,RealESRGAN,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___101816.png,QualiSR-Set120,ava_images___101816,RealESRGAN/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,-1.2513832,0.72532755,1.6379454,-1.3753405,-3.1685333,1.0091238,0.13294055,-1.770793,-0.14890538,0.25270784,-0.0972946,-0.54481095,-0.87657964,-0.1868245,0.558097,-0.71922445,-1.3651366,0.4852233,-0.5152881,2.3265245,-0.4590758,-1.6673634,0.8900177,-3.6417334,1.9464333
QualiSR-Set120/SUPIR/ava_images___101816.npy.gz,SUPIR,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___101816.png,QualiSR-Set120,ava_images___101816,SUPIR/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,-1.5336276,0.50861377,1.6664174,-1.0499804,-2.996719,1.4334941,0.13424961,-1.8225486,-0.28324962,0.1729548,0.2894181,-0.5624592,-1.1212066,-0.3745251,0.36492607,-0.8968242,-1.3870854,0.5721399,-0.63735914,1.8659345,-0.45355755,-1.571121,0.98952097,-3.3971486,1.3056736
QualiSR-Set120/PASD/ava_images___158174.npy.gz,PASD,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___158174.png,QualiSR-Set120,ava_images___158174,PASD/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-2.0860486,-4.2381067,-7.066931,1.1607394,0.15616024,-1.99546,2.5006666,2.8821545,-1.4011567,3.7333465,-0.74251664,-4.1127286,1.2267679,-0.460305,0.69997656,-4.229661,0.032361418,2.5047843,-0.11993845,0.14107114,0.57847816,0.5426275,0.12423214,-0.6469309,0.35414776
QualiSR-Set120/RealESRGAN/ava_images___158174.npy.gz,RealESRGAN,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___158174.png,QualiSR-Set120,ava_images___158174,RealESRGAN/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-1.747775,-4.5323706,-7.134662,1.3528688,0.66394246,-2.0947526,2.536919,3.3501215,-1.5839583,4.011021,-0.58230567,-4.5703464,1.0342778,-0.770043,1.0807092,-4.256788,0.23102337,2.2699456,0.13169816,0.15559971,0.72430706,0.49086756,-0.5188781,-0.93739194,0.26255766
QualiSR-Set120/SUPIR/ava_images___158174.npy.gz,SUPIR,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___158174.png,QualiSR-Set120,ava_images___158174,SUPIR/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-2.4462864,-4.8789864,-7.8506646,1.3729489,0.2554438,-2.507115,2.9502585,3.3562407,-1.050406,3.8354373,-0.7698034,-3.5315666,1.3223604,-0.7746681,0.82074475,-4.5447063,-0.23722738,2.735675,-0.11127788,0.44106668,0.070962444,0.2887678,0.38874787,-0.372073,0.30759522
QualiSR-Set120/PASD/ava_images___18037.npy.gz,PASD,ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___18037.png,QualiSR-Set120,ava_images___18037,PASD/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___18037.png,train,-4.213095,8.69507,-1.1769845,3.6401129,0.1850332,-1.2938912,0.40902272,0.30547535,-0.41749132,-0.07009678,-0.382768,0.6013346,-0.45455033,-0.11693153,0.05278659,1.1611004,0.7570881,0.052898362,0.6016518,-1.0413396,-0.47852266,2.1768527,5.3490925,-1.1959884,0.96392775
QualiSR-Set120/RealESRGAN/ava_images___18037.npy.gz,RealESRGAN,ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___18037.png,QualiSR-Set120,ava_images___18037,RealESRGAN/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___18037.png,train,-4.406584,9.505528,-1.6206145,4.292923,0.0890156,-1.3518283,0.44397953,0.44657624,-0.36516666,-0.13534898,-0.42572036,0.5323217,-0.07300717,0.15878223,0.082527444,1.0986123,0.84614354,0.02361402,0.49830395,-0.95410615,-0.33182764,2.0721447,5.0583034,-1.205641,0.87720203
QualiSR-Set120/SUPIR/ava_images___18037.npy.gz,SUPIR,ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___18037.png,QualiSR-Set120,ava_images___18037,SUPIR/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___18037.png,train,-4.260322,8.606981,-1.0414889,3.401117,0.33341432,-1.1679709,0.39083722,0.32197607,-0.4547993,-0.05196964,-0.39295498,0.7259102,-0.55834115,-0.10426599,0.06959011,1.1784661,0.7864062,0.066536084,0.60651684,-1.1320336,-0.5007199,2.2666938,5.4975977,-1.1650844,0.99218774
QualiSR-Set120/PASD/ava_images___217590.npy.gz,PASD,ava_images___217590.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___217590.png,QualiSR-Set120,ava_images___217590,PASD/ava_images___217590.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___217590.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___217590.png,test,-2.488053,3.9659312,-0.23257285,1.7675314,-0.7457057,0.372087,-0.08103539,-0.25007325,-0.82679796,-0.05617573,-0.18784365,0.042390212,-0.3662539,0.3630169,-0.02066356,-0.0064810812,-0.3155396,-0.2131903,-0.080810025,0.18255015,-0.35234177,0.31609803,1.2509065,-0.24569829,0.2532154
QualiSR-Set120/RealESRGAN/ava_images___217590.npy.gz,RealESRGAN,ava_images___217590.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___217590.png,QualiSR-Set120,ava_images___217590,RealESRGAN/ava_images___217590.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___217590.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___217590.png,test,-2.5844374,4.120676,-0.44726592,2.0971332,-0.7178467,0.24486005,-0.14196073,-0.055768967,-0.7682445,-0.10776257,-0.17052391,0.10345625,-0.36593783,0.5065225,-0.057098627,0.07492685,-0.22684371,-0.309174,-0.052539155,0.17670123,-0.36372465,0.36468083,1.1939433,-0.29796714,0.2706155
QualiSR-Set120/SUPIR/ava_images___217590.npy.gz,SUPIR,ava_images___217590.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___217590.png,QualiSR-Set120,ava_images___217590,SUPIR/ava_images___217590.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___217590.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___217590.png,test,-2.534455,4.097741,-0.40231186,1.9435463,-0.72883,0.3110447,-0.033163577,-0.14047563,-0.7921028,-0.07280593,-0.18312791,0.030209541,-0.338978,0.39023146,-0.043958724,0.048198402,-0.20901671,-0.22132717,-0.026416183,0.14854304,-0.33392456,0.399157,1.4891008,-0.28602165,0.3025715
