sample_id,sr_method,sr_filename,sr_path,dataset,test_case,rel_path,gt_path,lr_path,set_type,resnet_pca_000,resnet_pca_001,resnet_pca_002,resnet_pca_003,resnet_pca_004,resnet_pca_005,resnet_pca_006,resnet_pca_007,resnet_pca_008,resnet_pca_009,resnet_pca_010,resnet_pca_011,resnet_pca_012,resnet_pca_013,resnet_pca_014,resnet_pca_015,resnet_pca_016,resnet_pca_017,resnet_pca_018,resnet_pca_019,resnet_pca_020,resnet_pca_021,resnet_pca_022,resnet_pca_023,resnet_pca_024,resnet_pca_025,resnet_pca_026,resnet_pca_027,resnet_pca_028,resnet_pca_029,resnet_pca_030,resnet_pca_031,resnet_pca_032,resnet_pca_033,resnet_pca_034,resnet_pca_035,resnet_pca_036,resnet_pca_037,resnet_pca_038,resnet_pca_039,resnet_pca_040,resnet_pca_041,resnet_pca_042,resnet_pca_043,resnet_pca_044,resnet_pca_045,resnet_pca_046,resnet_pca_047,resnet_pca_048,resnet_pca_049
QualiSR-Set120/PASD/1024x768___4962875195.npy.gz,PASD,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,PASD/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-0.6380513,-0.40738034,-1.3913939,-1.2599208,0.018696427,6.05274,-4.111467,-4.303002,-2.5989323,1.5601656,-3.7058659,0.37106258,3.7283692,-2.249256,-0.843915,0.67570394,4.406571,2.658355,2.4700055,-1.6584351,-0.026604146,-0.11376363,-0.50929666,0.6914316,0.53555727,-0.36895496,-0.2550285,-0.032484382,0.25648683,-0.6200859,-0.040822066,0.103979096,0.2624138,0.18084306,0.05040492,-0.04435283,0.20521882,0.10742083,0.24570723,0.01471959,0.0065837502,-0.049495906,-0.05555643,-0.1760289,0.01191324,-0.07809903,0.14754161,0.006512195,0.10680354,-0.12439498
QualiSR-Set120/RealESRGAN/1024x768___4962875195.npy.gz,RealESRGAN,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,RealESRGAN/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-0.6380513,-0.40738034,-1.3913939,-1.2599208,0.018696427,6.05274,-4.111467,-4.303002,-2.5989323,1.5601656,-3.7058659,0.37106258,3.7283692,-2.249256,-0.843915,0.67570394,4.406571,2.658355,2.4700055,-1.6584351,-0.026604146,-0.11376363,-0.50929666,0.6914316,0.53555727,-0.36895496,-0.2550285,-0.032484382,0.25648683,-0.6200859,-0.040822066,0.103979096,0.2624138,0.18084306,0.05040492,-0.04435283,0.20521882,0.10742083,0.24570723,0.01471959,0.0065837502,-0.049495906,-0.05555643,-0.1760289,0.01191324,-0.07809903,0.14754161,0.006512195,0.10680354,-0.12439498
QualiSR-Set120/SUPIR/1024x768___4962875195.npy.gz,SUPIR,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,SUPIR/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-0.6380513,-0.40738034,-1.3913939,-1.2599208,0.018696427,6.05274,-4.111467,-4.303002,-2.5989323,1.5601656,-3.7058659,0.37106258,3.7283692,-2.249256,-0.843915,0.67570394,4.406571,2.658355,2.4700055,-1.6584351,-0.026604146,-0.11376363,-0.50929666,0.6914316,0.53555727,-0.36895496,-0.2550285,-0.032484382,0.25648683,-0.6200859,-0.040822066,0.103979096,0.2624138,0.18084306,0.05040492,-0.04435283,0.20521882,0.10742083,0.24570723,0.01471959,0.0065837502,-0.049495906,-0.05555643,-0.1760289,0.01191324,-0.07809903,0.14754161,0.006512195,0.10680354,-0.12439498
QualiSR-Set120/PASD/ava_images___101816.npy.gz,PASD,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___101816.png,QualiSR-Set120,ava_images___101816,PASD/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,1.4992558,1.1749134,2.144257,-1.7195958,-4.045351,0.7523575,1.4401987,-0.865502,1.715008,0.80767393,0.030129403,0.34011328,0.20650291,-0.5938189,0.05869575,-1.4210341,-2.0970268,0.952229,0.9025967,1.9061958,-1.4109691,-2.2762372,0.96679145,-3.5082712,2.701091,-1.3537903,-2.9738035,-0.27041966,-0.71781,-4.26896,-4.82852,1.5156926,-0.51838505,-0.21572614,-0.15745753,0.07892211,-0.14114216,0.6462209,-0.43801683,0.46232894,-1.1353278,-0.21840337,0.10411319,0.74127734,0.35854512,-0.61426556,0.41524118,-0.073848784,0.04787898,0.28689474
QualiSR-Set120/RealESRGAN/ava_images___101816.npy.gz,RealESRGAN,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___101816.png,QualiSR-Set120,ava_images___101816,RealESRGAN/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,1.510161,1.14493,2.1260684,-1.7203739,-4.055505,0.7404691,1.4327754,-0.856973,1.7263622,0.7800647,0.038859546,0.31873816,0.2342292,-0.60643053,0.06179145,-1.4261849,-2.0841465,0.9293104,0.9083364,1.8952326,-1.4073884,-2.2508075,0.9603955,-3.489649,2.7061071,-1.3584769,-2.9693384,-0.27116835,-0.7015911,-4.26417,-4.838093,1.5201813,-0.51637065,-0.2193546,-0.19902939,0.066262215,-0.15736082,0.68147194,-0.43125832,0.4944754,-1.2204944,-0.23516048,0.101146325,0.7893198,0.37868065,-0.6749742,0.4330388,-0.07997966,0.051849365,0.31956658
QualiSR-Set120/SUPIR/ava_images___101816.npy.gz,SUPIR,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___101816.png,QualiSR-Set120,ava_images___101816,SUPIR/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,1.4992558,1.1749134,2.144257,-1.7195958,-4.045351,0.7523575,1.4401987,-0.865502,1.715008,0.80767393,0.030129403,0.34011328,0.20650291,-0.5938189,0.05869575,-1.4210341,-2.0970268,0.952229,0.9025967,1.9061958,-1.4109691,-2.2762372,0.96679145,-3.5082712,2.701091,-1.3537903,-2.9738035,-0.27041966,-0.71781,-4.26896,-4.82852,1.5156926,-0.51838505,-0.21572614,-0.15745753,0.07892211,-0.14114216,0.6462209,-0.43801683,0.46232894,-1.1353278,-0.21840337,0.10411319,0.74127734,0.35854512,-0.61426556,0.41524118,-0.073848784,0.04787898,0.28689474
QualiSR-Set120/PASD/ava_images___158174.npy.gz,PASD,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___158174.png,QualiSR-Set120,ava_images___158174,PASD/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-1.7426132,-5.102231,-7.928184,1.3979061,-0.16182768,-2.6520271,3.381185,3.7981806,-0.5357934,4.337499,-0.72945964,-3.2046304,1.8272117,-0.8051623,1.2124796,-5.2751565,-0.46400648,3.3472404,0.15771013,0.7376252,-0.1838097,0.33295947,0.15559053,0.28874552,0.20633802,0.17918617,0.58372474,0.031335205,0.19313997,-0.010204673,0.2470966,0.45844865,-0.13559112,-0.05831158,-0.07920779,-0.9503859,1.0071675,-1.093711,1.7201585,1.3892441,-0.18633437,0.41328177,-1.3575499,0.42030394,0.022702038,-0.08974251,-0.06340404,0.12632231,-0.09954256,0.20789883
QualiSR-Set120/RealESRGAN/ava_images___158174.npy.gz,RealESRGAN,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___158174.png,QualiSR-Set120,ava_images___158174,RealESRGAN/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-1.7426132,-5.102231,-7.928184,1.3979061,-0.16182768,-2.6520271,3.381185,3.7981806,-0.5357934,4.337499,-0.72945964,-3.2046304,1.8272117,-0.8051623,1.2124796,-5.2751565,-0.46400648,3.3472404,0.15771013,0.7376252,-0.1838097,0.33295947,0.15559053,0.28874552,0.20633802,0.17918617,0.58372474,0.031335205,0.19313997,-0.010204673,0.2470966,0.45844865,-0.13559112,-0.05831158,-0.07920779,-0.9503859,1.0071675,-1.093711,1.7201585,1.3892441,-0.18633437,0.41328177,-1.3575499,0.42030394,0.022702038,-0.08974251,-0.06340404,0.12632231,-0.09954256,0.20789883
QualiSR-Set120/SUPIR/ava_images___158174.npy.gz,SUPIR,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___158174.png,QualiSR-Set120,ava_images___158174,SUPIR/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-1.7426132,-5.102231,-7.928184,1.3979061,-0.16182768,-2.6520271,3.381185,3.7981806,-0.5357934,4.337499,-0.72945964,-3.2046304,1.8272117,-0.8051623,1.2124796,-5.2751565,-0.46400648,3.3472404,0.15771013,0.7376252,-0.1838097,0.33295947,0.15559053,0.28874552,0.20633802,0.17918617,0.58372474,0.031335205,0.19313997,-0.010204673,0.2470966,0.45844865,-0.13559112,-0.05831158,-0.07920779,-0.9503859,1.0071675,-1.093711,1.7201585,1.3892441,-0.18633437,0.41328177,-1.3575499,0.42030394,0.022702038,-0.08974251,-0.06340404,0.12632231,-0.09954256,0.20789883
QualiSR-Set120/PASD/ava_images___18037.npy.gz,PASD,ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___18037.png,QualiSR-Set120,ava_images___18037,PASD/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___18037.png,train,-3.3626034,8.549742,-1.2670228,3.4744084,0.1502155,-1.2934556,0.8823285,0.41489184,-0.22036874,0.14567742,-0.23867336,0.68647593,-0.3767072,-0.21227562,0.07742296,0.867891,0.56931597,0.2708068,1.108663,-1.1241586,-0.46974134,1.9669704,5.024707,-1.0983075,0.99605393,-0.7586821,3.3731098,-1.1484836,0.0104830265,-0.3195365,-0.18868014,-0.086490214,0.036315143,0.3455214,-0.1273424,-0.15251605,-0.10353745,0.16159037,-0.05261685,0.13213396,0.05076641,0.20724493,0.056265265,0.046941385,-0.035408676,-0.09316668,0.19448121,0.008915737,-0.09743434,0.01875329
