sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,vgg_pca_000,vgg_pca_001,vgg_pca_002,vgg_pca_003,vgg_pca_004,vgg_pca_005,vgg_pca_006,vgg_pca_007,vgg_pca_008,vgg_pca_009,vgg_pca_010,vgg_pca_011,vgg_pca_012,vgg_pca_013,vgg_pca_014,vgg_pca_015,vgg_pca_016,vgg_pca_017,vgg_pca_018,vgg_pca_019,vgg_pca_020,vgg_pca_021,vgg_pca_022,vgg_pca_023,vgg_pca_024
PASD:1024x768___1446670895,PASD,1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___1446670895.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___1446670895.png,test,6.3555603,-18.171188,-20.560751,7.537769,8.583662,-12.13909,-23.975443,5.931511,20.97745,-2.6199925,-2.856927,-3.9588366,2.3030498,2.5425787,-10.422899,7.4700327,-1.3583646,5.94317,2.8265638,-3.3485372,1.1333327,-3.5681977,-1.6015064,-8.985926,-2.2071693
PASD:1024x768___1795186582,PASD,1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___1795186582.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___1795186582.png,train,-5.5904408,-21.884048,-7.833473,11.104774,6.981271,5.587624,-2.200438,-0.026099026,-6.6005154,-4.8257346,-7.2183495,7.1445513,2.3355746,15.505083,12.249426,-15.974483,-7.65847,9.64547,-4.365527,19.327,6.0094433,1.2098855,4.1434116,-10.464981,2.765185
PASD:1024x768___2047083409,PASD,1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2047083409.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2047083409.png,test,1.0767727,-32.002445,-17.032425,7.098399,-1.4063604,-25.906939,10.848164,10.572381,14.812365,9.843315,-2.541072,2.869409,11.589847,10.24342,3.4576933,-6.4368687,8.734028,18.207436,-10.2703705,-7.6373835,-0.7117778,-13.829008,1.7277896,1.7209095,-2.6151264
PASD:1024x768___2063914625,PASD,1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2063914625.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2063914625.png,test,11.796474,-26.668972,-31.001577,-7.049293,8.457534,-8.738955,10.004029,0.38124424,15.70385,-9.419445,5.855323,-5.9119616,6.1496115,6.1570053,-16.124807,-2.187706,-1.9667511,-2.6433215,-2.4070327,-3.3715749,-9.869767,-9.405593,-20.000673,-0.03346777,-9.596497
PASD:1024x768___223186789,PASD,1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___223186789.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___223186789.png,train,0.45799446,-14.029184,15.480325,-20.609806,-24.945898,-4.3356023,2.326631,-3.8130167,-6.2285676,9.636772,-10.829904,-1.286664,-4.917915,11.318067,18.322254,1.8688817,18.325962,-6.483454,-6.390877,7.1227036,12.56134,17.17351,4.9186287,-5.9242587,-12.97191
PASD:1024x768___2688438615,PASD,1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___2688438615.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___2688438615.png,test,-17.019104,3.0029821,-17.018465,5.898119,6.5993605,8.228121,-1.9827046,-5.4599414,2.4452581,2.2067952,-1.0781271,1.207797,-4.1601543,1.590373,6.649341,4.6782436,5.0554967,3.7498884,7.2780166,6.472991,-0.38858092,2.5167327,-2.0010562,6.2781763,-1.0473185
PASD:1024x768___3092999912,PASD,1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___3092999912.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___3092999912.png,test,-15.680245,2.275566,-28.915876,1.3585604,1.9062378,-9.164799,-8.046249,7.111167,17.06567,-7.20141,5.824442,-1.5195715,1.4020982,-0.18956599,5.938182,10.383768,2.3995156,-0.12342048,8.0952425,0.3976469,4.9338865,4.8108263,13.330931,-0.4933411,-0.6147771
PASD:1024x768___38056572,PASD,1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___38056572.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___38056572.png,test,9.408031,-15.857475,-15.71737,18.188648,7.71657,11.332649,-6.7780366,-19.242435,15.454634,5.7217135,-8.0112705,-4.374339,-7.981358,17.044617,-12.085907,-8.4644785,5.445945,-7.235015,-2.838047,10.133159,-8.801403,-8.296196,-6.895747,0.24789715,-10.511039
PASD:1024x768___3956832242,PASD,1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___3956832242.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___3956832242.png,train,-8.694614,0.773016,-28.643166,-21.265295,-11.5543,2.9477105,-33.618286,22.752481,3.077332,-14.118838,8.642702,-0.38791943,-13.573586,4.3537006,16.134708,3.3996468,-5.6278296,-9.927643,3.8923254,-6.7550907,7.675275,20.024734,-4.7464485,-6.9741125,6.4165473
PASD:1024x768___4042245241,PASD,1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4042245241.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4042245241.png,test,-22.249796,2.1792555,9.976108,0.14660084,5.0296593,1.7819037,-3.4427485,-5.4041324,3.8642316,6.7289705,-0.8505976,0.47759628,3.154273,2.5095341,2.4568653,4.3754654,1.9655204,-2.065033,4.441544,-2.2675104,-4.03607,-1.2813402,-7.516079,2.73351,1.2345142
