sample_id,sr_method,sr_filename,sr_path,dataset,test_case,rel_path,gt_path,lr_path,set_type,vgg_pca_000,vgg_pca_001,vgg_pca_002,vgg_pca_003,vgg_pca_004,vgg_pca_005,vgg_pca_006,vgg_pca_007,vgg_pca_008,vgg_pca_009
QualiSR-Set120/PASD/1024x768___4962875195.npy.gz,PASD,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,PASD/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-7.381428,-9.208598,-7.3646207,-13.14072,-0.83698463,-3.4978352,-19.810236,-17.72239,-10.898531,-19.396362
QualiSR-Set120/RealESRGAN/1024x768___4962875195.npy.gz,RealESRGAN,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,RealESRGAN/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-6.692154,-8.523822,-6.048954,-12.831734,-1.0995197,-2.0874863,-20.287477,-16.801416,-12.393892,-19.304455
QualiSR-Set120/SUPIR/1024x768___4962875195.npy.gz,SUPIR,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,SUPIR/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-7.096072,-7.8423004,-7.5489035,-13.9062605,0.4593562,-3.1986723,-19.993057,-17.65305,-11.687019,-20.367165
QualiSR-Set120/PASD/ava_images___101816.npy.gz,PASD,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___101816.png,QualiSR-Set120,ava_images___101816,PASD/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,2.8614445,30.58119,-8.964408,-14.658039,33.206665,-9.661054,8.114983,-12.527761,-26.274662,-13.929259
QualiSR-Set120/RealESRGAN/ava_images___101816.npy.gz,RealESRGAN,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___101816.png,QualiSR-Set120,ava_images___101816,RealESRGAN/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,-9.521119,3.330679,-9.361008,-12.088419,12.52686,-13.376311,-3.2728467,-13.503744,-15.392263,-8.652542
QualiSR-Set120/SUPIR/ava_images___101816.npy.gz,SUPIR,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___101816.png,QualiSR-Set120,ava_images___101816,SUPIR/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,0.7834797,25.534094,-8.049358,-13.926176,25.070436,-10.738024,1.2904067,-14.10398,-23.284544,-11.612009
QualiSR-Set120/PASD/ava_images___158174.npy.gz,PASD,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___158174.png,QualiSR-Set120,ava_images___158174,PASD/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-18.736448,-15.305958,-2.6177025,-12.90702,-70.488396,191.32445,6.408241,2.2935133,-25.10476,-24.010921
QualiSR-Set120/RealESRGAN/ava_images___158174.npy.gz,RealESRGAN,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___158174.png,QualiSR-Set120,ava_images___158174,RealESRGAN/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-13.800049,-13.6189995,-2.9184914,-10.260638,-74.09089,191.9074,6.210918,2.2268171,-24.095276,-21.591434
QualiSR-Set120/SUPIR/ava_images___158174.npy.gz,SUPIR,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___158174.png,QualiSR-Set120,ava_images___158174,SUPIR/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-16.21327,-13.174852,-5.0872517,-13.281902,-65.40879,180.09996,9.343391,0.5603256,-25.565145,-21.479042
QualiSR-Set120/PASD/ava_images___18037.npy.gz,PASD,ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___18037.png,QualiSR-Set120,ava_images___18037,PASD/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___18037.png,train,-14.182684,-12.577985,-10.755562,-9.866311,1.3079046,-14.685171,-6.968632,-12.291342,-6.477093,-11.0928955
