sample_id,sr_method,sr_filename,sr_path,dataset,test_case,rel_path,gt_path,lr_path,set_type,vgg_pca_000,vgg_pca_001,vgg_pca_002,vgg_pca_003,vgg_pca_004,vgg_pca_005,vgg_pca_006,vgg_pca_007,vgg_pca_008,vgg_pca_009,vgg_pca_010,vgg_pca_011,vgg_pca_012,vgg_pca_013,vgg_pca_014,vgg_pca_015,vgg_pca_016,vgg_pca_017,vgg_pca_018,vgg_pca_019,vgg_pca_020,vgg_pca_021,vgg_pca_022,vgg_pca_023,vgg_pca_024,vgg_pca_025,vgg_pca_026,vgg_pca_027,vgg_pca_028,vgg_pca_029,vgg_pca_030,vgg_pca_031,vgg_pca_032,vgg_pca_033,vgg_pca_034,vgg_pca_035,vgg_pca_036,vgg_pca_037,vgg_pca_038,vgg_pca_039,vgg_pca_040,vgg_pca_041,vgg_pca_042,vgg_pca_043,vgg_pca_044,vgg_pca_045,vgg_pca_046,vgg_pca_047,vgg_pca_048,vgg_pca_049,vgg_pca_050,vgg_pca_051,vgg_pca_052,vgg_pca_053,vgg_pca_054,vgg_pca_055,vgg_pca_056,vgg_pca_057,vgg_pca_058,vgg_pca_059,vgg_pca_060,vgg_pca_061,vgg_pca_062,vgg_pca_063,vgg_pca_064,vgg_pca_065,vgg_pca_066,vgg_pca_067,vgg_pca_068,vgg_pca_069,vgg_pca_070,vgg_pca_071,vgg_pca_072,vgg_pca_073,vgg_pca_074
QualiSR-Set120/PASD/1024x768___4962875195.npy.gz,PASD,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,PASD/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-4.504479,-7.650113,-6.095665,-15.303053,-4.7809343,-3.1568627,-23.206598,2.8046923,-12.705751,-21.174719,-18.460857,-4.3445253,14.668438,-61.892982,38.383034,-20.661943,73.22249,-65.7396,23.605747,0.73184466,-0.48202705,3.561648,3.0897448,3.3154564,-5.5794206,0.14290142,3.6037736,-2.7449975,-1.542006,-0.25692987,-3.7885618,0.28226256,-2.1216738,0.038807392,0.46223032,0.4806199,0.13839166,-0.7280495,-0.4135394,0.7928704,-0.58357525,2.8889015,0.09844732,0.14098263,-1.5443966,0.3611269,0.027614273,-1.088008,0.061744213,-0.4576033,0.205868,-2.9434197,1.6754115,-1.696419,-0.032559693,-0.15466532,-1.3054044,0.90492964,0.0672493,0.40396082,-3.5506916,-3.4721694,-3.8471932,-1.7847254,4.5553236,0.8763039,-2.5544014,-0.24050593,-3.6270921,18.150349,6.3571024,-0.7713429,-5.92009,2.0729694,-11.289204
QualiSR-Set120/RealESRGAN/1024x768___4962875195.npy.gz,RealESRGAN,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,RealESRGAN/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-4.504479,-7.650113,-6.095665,-15.303053,-4.7809343,-3.1568627,-23.206598,2.8046923,-12.705751,-21.174719,-18.460857,-4.3445253,14.668438,-61.892982,38.383034,-20.661943,73.22249,-65.7396,23.605747,0.73184466,-0.48202705,3.561648,3.0897448,3.3154564,-5.5794206,0.14290142,3.6037736,-2.7449975,-1.542006,-0.25692987,-3.7885618,0.28226256,-2.1216738,0.038807392,0.46223032,0.4806199,0.13839166,-0.7280495,-0.4135394,0.7928704,-0.58357525,2.8889015,0.09844732,0.14098263,-1.5443966,0.3611269,0.027614273,-1.088008,0.061744213,-0.4576033,0.205868,-2.9434197,1.6754115,-1.696419,-0.032559693,-0.15466532,-1.3054044,0.90492964,0.0672493,0.40396082,-3.5506916,-3.4721694,-3.8471932,-1.7847254,4.5553236,0.8763039,-2.5544014,-0.24050593,-3.6270921,18.150349,6.3571024,-0.7713429,-5.92009,2.0729694,-11.289204
QualiSR-Set120/SUPIR/1024x768___4962875195.npy.gz,SUPIR,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,SUPIR/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-4.504479,-7.650113,-6.095665,-15.303053,-4.7809343,-3.1568627,-23.206598,2.8046923,-12.705751,-21.174719,-18.460857,-4.3445253,14.668438,-61.892982,38.383034,-20.661943,73.22249,-65.7396,23.605747,0.73184466,-0.48202705,3.561648,3.0897448,3.3154564,-5.5794206,0.14290142,3.6037736,-2.7449975,-1.542006,-0.25692987,-3.7885618,0.28226256,-2.1216738,0.038807392,0.46223032,0.4806199,0.13839166,-0.7280495,-0.4135394,0.7928704,-0.58357525,2.8889015,0.09844732,0.14098263,-1.5443966,0.3611269,0.027614273,-1.088008,0.061744213,-0.4576033,0.205868,-2.9434197,1.6754115,-1.696419,-0.032559693,-0.15466532,-1.3054044,0.90492964,0.0672493,0.40396082,-3.5506916,-3.4721694,-3.8471932,-1.7847254,4.5553236,0.8763039,-2.5544014,-0.24050593,-3.6270921,18.150349,6.3571024,-0.7713429,-5.92009,2.0729694,-11.289204
QualiSR-Set120/PASD/ava_images___101816.npy.gz,PASD,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___101816.png,QualiSR-Set120,ava_images___101816,PASD/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,-7.553397,-2.5419817,-7.6226425,-5.5643196,-15.938809,-1.6933346,-6.0855827,4.990069,-6.3430357,-5.212571,-16.480343,-0.7008574,-5.9830313,4.7622976,9.260108,4.7771225,-5.8343773,-1.0500815,-20.894852,-7.541979,-36.962948,-21.399927,-5.084243,52.384975,3.1765184,7.3456354,-0.9574475,1.9366169,-5.7934685,-2.0854487,-10.370596,-4.3917556,-18.654938,-13.842606,-19.7229,30.201645,20.289436,24.330307,2.224795,3.1408768,-4.2064476,-3.5275512,11.743908,-0.8358264,-3.773936,-4.671076,0.7469529,5.0753365,2.9796484,0.16954075,-1.1966094,1.6198542,0.041500278,3.1962242,2.6041632,-0.26020214,3.6229522,0.94914126,2.1804185,-0.14739457,-1.5994502,-3.2114272,-1.0147786,3.5092099,-4.6354547,16.914429,-4.7913966,-3.847889,4.6226573,0.034889817,-1.020187,-0.8945998,0.6784312,-0.1721636,1.0960815
QualiSR-Set120/RealESRGAN/ava_images___101816.npy.gz,RealESRGAN,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___101816.png,QualiSR-Set120,ava_images___101816,RealESRGAN/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,-7.6159844,-2.5619469,-7.624653,-5.5545697,-15.865034,-1.744431,-6.0763955,5.0270276,-6.3184915,-5.191189,-16.461548,-0.69167614,-5.993163,4.653391,9.191158,4.7914033,-5.7857566,-0.9867561,-20.948044,-7.4917727,-36.914494,-21.394287,-5.0984936,52.388325,3.2245264,7.271432,-0.97195864,1.852109,-5.826851,-2.072607,-10.440924,-4.4253573,-18.687584,-13.82773,-19.753288,30.28282,20.269257,24.44731,2.2268317,3.2196245,-4.211918,-3.5905766,11.788275,-0.8461616,-3.827768,-4.662985,0.76006484,5.109766,3.0543401,0.1735618,-1.2295718,1.6354605,0.024828441,3.2066379,2.6237526,-0.24968848,3.672465,1.0494823,2.1787305,-0.2246277,-1.7060148,-3.2548394,-1.0224257,3.6277282,-4.635122,17.096107,-4.855343,-3.905144,4.6696677,0.11329633,-0.9964789,-0.994326,0.59972215,-0.2276591,1.1316552
QualiSR-Set120/SUPIR/ava_images___101816.npy.gz,SUPIR,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___101816.png,QualiSR-Set120,ava_images___101816,SUPIR/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,-7.553397,-2.5419817,-7.6226425,-5.5643196,-15.938809,-1.6933346,-6.0855827,4.990069,-6.3430357,-5.212571,-16.480343,-0.7008574,-5.9830313,4.7622976,9.260108,4.7771225,-5.8343773,-1.0500815,-20.894852,-7.541979,-36.962948,-21.399927,-5.084243,52.384975,3.1765184,7.3456354,-0.9574475,1.9366169,-5.7934685,-2.0854487,-10.370596,-4.3917556,-18.654938,-13.842606,-19.7229,30.201645,20.289436,24.330307,2.224795,3.1408768,-4.2064476,-3.5275512,11.743908,-0.8358264,-3.773936,-4.671076,0.7469529,5.0753365,2.9796484,0.16954075,-1.1966094,1.6198542,0.041500278,3.1962242,2.6041632,-0.26020214,3.6229522,0.94914126,2.1804185,-0.14739457,-1.5994502,-3.2114272,-1.0147786,3.5092099,-4.6354547,16.914429,-4.7913966,-3.847889,4.6226573,0.034889817,-1.020187,-0.8945998,0.6784312,-0.1721636,1.0960815
QualiSR-Set120/PASD/ava_images___158174.npy.gz,PASD,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___158174.png,QualiSR-Set120,ava_images___158174,PASD/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-14.143076,-9.642539,-3.4057112,-59.779305,150.22444,27.306278,0.46256828,-3.460967,-11.8552265,-1.1782241,-11.666955,16.98626,12.588194,15.043256,-4.4935727,-4.565493,-9.375944,-7.8083415,0.31185246,-3.268727,-8.53479,-2.82541,1.3045943,-1.4839506,2.4427247,-3.5804195,-1.3548989,-3.3505101,-2.3167243,0.11551952,-1.9880184,-0.105407596,-4.162418,-2.4964554,1.923678,2.0500107,-3.009057,-0.34909403,-2.4607596,-4.919775,-3.9893796,11.845233,-2.1131895,-5.0986614,30.147545,-20.93166,-12.596699,5.610601,-8.955672,-2.691262,1.094295,2.3898218,0.53874785,1.7286369,-0.8401052,-1.0008875,-0.033156633,-0.3260791,-0.7225558,-0.33393836,1.5090067,0.056868315,0.55393445,-0.14212167,0.96611166,1.0426421,-0.8877969,-0.102535486,-0.3560667,0.095018625,-0.16213319,0.36464298,-0.08911988,-1.1875005,-0.252182
QualiSR-Set120/RealESRGAN/ava_images___158174.npy.gz,RealESRGAN,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___158174.png,QualiSR-Set120,ava_images___158174,RealESRGAN/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-14.143076,-9.642539,-3.4057112,-59.779305,150.22444,27.306278,0.46256828,-3.460967,-11.8552265,-1.1782241,-11.666955,16.98626,12.588194,15.043256,-4.4935727,-4.565493,-9.375944,-7.8083415,0.31185246,-3.268727,-8.53479,-2.82541,1.3045943,-1.4839506,2.4427247,-3.5804195,-1.3548989,-3.3505101,-2.3167243,0.11551952,-1.9880184,-0.105407596,-4.162418,-2.4964554,1.923678,2.0500107,-3.009057,-0.34909403,-2.4607596,-4.919775,-3.9893796,11.845233,-2.1131895,-5.0986614,30.147545,-20.93166,-12.596699,5.610601,-8.955672,-2.691262,1.094295,2.3898218,0.53874785,1.7286369,-0.8401052,-1.0008875,-0.033156633,-0.3260791,-0.7225558,-0.33393836,1.5090067,0.056868315,0.55393445,-0.14212167,0.96611166,1.0426421,-0.8877969,-0.102535486,-0.3560667,0.095018625,-0.16213319,0.36464298,-0.08911988,-1.1875005,-0.252182
QualiSR-Set120/SUPIR/ava_images___158174.npy.gz,SUPIR,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___158174.png,QualiSR-Set120,ava_images___158174,SUPIR/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-14.143076,-9.642539,-3.4057112,-59.779305,150.22444,27.306278,0.46256828,-3.460967,-11.8552265,-1.1782241,-11.666955,16.98626,12.588194,15.043256,-4.4935727,-4.565493,-9.375944,-7.8083415,0.31185246,-3.268727,-8.53479,-2.82541,1.3045943,-1.4839506,2.4427247,-3.5804195,-1.3548989,-3.3505101,-2.3167243,0.11551952,-1.9880184,-0.105407596,-4.162418,-2.4964554,1.923678,2.0500107,-3.009057,-0.34909403,-2.4607596,-4.919775,-3.9893796,11.845233,-2.1131895,-5.0986614,30.147545,-20.93166,-12.596699,5.610601,-8.955672,-2.691262,1.094295,2.3898218,0.53874785,1.7286369,-0.8401052,-1.0008875,-0.033156633,-0.3260791,-0.7225558,-0.33393836,1.5090067,0.056868315,0.55393445,-0.14212167,0.96611166,1.0426421,-0.8877969,-0.102535486,-0.3560667,0.095018625,-0.16213319,0.36464298,-0.08911988,-1.1875005,-0.252182
QualiSR-Set120/PASD/ava_images___18037.npy.gz,PASD,ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___18037.png,QualiSR-Set120,ava_images___18037,PASD/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___18037.png,train,-9.990379,-12.938805,-9.481963,-6.3648252,-14.081976,-7.5992284,-8.356612,2.213747,-8.979769,-9.41631,-9.218647,3.4064388,-5.7813215,-2.0515983,-2.2251127,5.8687406,-10.357375,-1.1447989,-13.963123,-2.1724484,-11.354658,-2.4247165,0.43836188,-4.110163,0.8406248,-18.03291,-11.0986,-21.716572,-20.60176,-20.71248,9.193932,-0.04131508,-2.3560355,-0.7174256,-2.5637481,4.39736,4.9849153,-30.884205,4.0609455,5.7923374,0.9593129,-8.834932,7.5617495,-5.6812267,-2.1992362,-5.642297,-1.1964208,2.0516617,1.021204,0.17613047,0.38833356,-1.236165,-0.39698863,0.12423539,0.4015317,0.06506458,0.4389199,0.006665677,-0.0395208,0.736995,0.53572625,-0.41316175,0.1650809,0.15760913,-0.42890167,-0.113234535,-0.5410098,-0.36677766,-0.614686,0.70177954,-0.020453036,0.67215717,-0.4133339,-0.010727167,0.3717413
