sample_id,sr_method,sr_filename,sr_path,dataset,test_case,rel_path,gt_path,lr_path,set_type,resnet_pca_000,resnet_pca_001,resnet_pca_002,resnet_pca_003,resnet_pca_004,resnet_pca_005,resnet_pca_006,resnet_pca_007,resnet_pca_008,resnet_pca_009,resnet_pca_010,resnet_pca_011,resnet_pca_012,resnet_pca_013,resnet_pca_014,resnet_pca_015,resnet_pca_016,resnet_pca_017,resnet_pca_018,resnet_pca_019,resnet_pca_020,resnet_pca_021,resnet_pca_022,resnet_pca_023,resnet_pca_024,resnet_pca_025,resnet_pca_026,resnet_pca_027,resnet_pca_028,resnet_pca_029,resnet_pca_030,resnet_pca_031,resnet_pca_032,resnet_pca_033,resnet_pca_034,resnet_pca_035,resnet_pca_036,resnet_pca_037,resnet_pca_038,resnet_pca_039,resnet_pca_040,resnet_pca_041,resnet_pca_042,resnet_pca_043,resnet_pca_044,resnet_pca_045,resnet_pca_046,resnet_pca_047,resnet_pca_048,resnet_pca_049
QualiSR-Set120/PASD/1024x768___4962875195.npy.gz,PASD,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,PASD/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-0.92464113,-0.30640095,-1.2390928,-1.1655195,-0.027873516,5.7210665,-4.078964,-4.1161933,-2.574322,1.6544954,-3.2502046,0.2997851,3.4844613,-2.26227,-0.77976656,0.5140808,3.8877158,2.5209744,2.175334,-1.6588918,0.18716212,-0.12151733,-0.46119547,0.5332417,0.44547758,-0.4401272,-0.19287515,-0.28058288,0.23812503,-0.5360177,0.048534922,0.066051215,0.09496704,0.14022388,0.20151632,-0.15145147,0.084669836,-0.112246156,-0.054539897,0.07482334,0.016217947,-0.08140875,0.08888582,0.10247919,0.08031249,0.13205186,-0.09530042,-0.109984994,0.06137526,-0.005934581
QualiSR-Set120/RealESRGAN/1024x768___4962875195.npy.gz,RealESRGAN,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,RealESRGAN/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-0.9767518,-0.3982234,-1.4904413,-0.9681978,0.07845819,5.497514,-4.1639667,-3.806232,-2.4435084,1.4171181,-3.261223,0.14205599,3.3563733,-2.1421719,-0.892153,0.5094261,3.5462685,2.202583,2.211996,-1.7151706,0.07947777,-0.011856943,-0.43876672,0.4160093,0.4915053,-0.3596295,-0.13965154,-0.20763771,0.18202026,-0.55100626,0.012166329,0.012331277,-0.09112933,0.09461261,-0.011578634,0.12904827,-0.025607295,-0.15083417,-0.33556753,-0.016989697,-0.010966182,0.03266877,-0.10282679,0.13607019,-0.17701954,0.21058261,-0.23656411,0.0070332736,-0.1161347,0.28468084
QualiSR-Set120/SUPIR/1024x768___4962875195.npy.gz,SUPIR,1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/1024x768___4962875195.png,QualiSR-Set120,1024x768___4962875195,SUPIR/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/1024x768___4962875195.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/1024x768___4962875195.png,train,-0.84697866,-0.417453,-1.27038,-1.1912225,0.022023082,5.8312335,-4.3002987,-4.14583,-2.6306822,1.6883109,-3.5055816,0.21218158,3.5906816,-2.3716712,-0.84088886,0.6002099,4.070033,2.5205593,2.336811,-1.6368084,0.120764896,-0.069313705,-0.5320802,0.5930733,0.5312054,-0.4407547,-0.2465406,-0.2775494,0.24693695,-0.59136885,0.026562162,0.08395977,0.11759132,0.13561608,0.17895721,-0.12716064,0.0052428283,-0.052351326,0.07310538,0.088197544,-0.023082614,-0.05654534,0.10413785,0.036645144,0.04352373,0.041443437,-0.06270121,-0.18326244,0.071888566,0.0054611564
QualiSR-Set120/PASD/ava_images___101816.npy.gz,PASD,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___101816.png,QualiSR-Set120,ava_images___101816,PASD/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,-1.5266473,0.44009417,1.6888348,-0.7656573,-2.8427343,1.573973,0.26853815,-1.8780911,-0.32272363,-0.009228751,0.37548953,-0.5952499,-1.0540676,-0.4334173,0.10147263,-0.7760571,-1.2436621,0.5882267,-0.6339371,1.5821894,-0.25569946,-1.4121151,0.9976035,-2.8210433,1.0937636,-0.5582118,-1.260252,-0.06220869,-1.7220857,0.036796153,0.6585353,-0.3287239,0.90585124,-0.42512,0.42144948,-0.35047138,0.2579645,-1.0296065,0.63033164,-0.95687246,2.5784001,0.34385213,-0.34047288,-1.3419261,-0.57901365,1.2325706,-0.6296338,0.014858261,-0.1636672,-0.5058812
QualiSR-Set120/RealESRGAN/ava_images___101816.npy.gz,RealESRGAN,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___101816.png,QualiSR-Set120,ava_images___101816,RealESRGAN/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,-1.2513832,0.72532755,1.6379454,-1.3753405,-3.1685333,1.0091238,0.13294055,-1.770793,-0.14890538,0.25270784,-0.0972946,-0.54481095,-0.87657964,-0.1868245,0.558097,-0.71922445,-1.3651366,0.4852233,-0.5152881,2.3265245,-0.4590758,-1.6673634,0.8900177,-3.6417334,1.9464333,-0.72078264,-2.236629,-0.30421394,-2.1494353,-2.0268705,-1.5508463,0.35781664,0.86792517,-0.2381042,0.33119684,-0.93394655,-0.05101341,-1.2990544,0.7272372,-1.3359859,2.8627114,0.53130925,-0.38298672,-1.3516316,-0.7137826,1.8949585,-0.38947773,0.14643738,0.10944742,-0.2793181
QualiSR-Set120/SUPIR/ava_images___101816.npy.gz,SUPIR,ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___101816.png,QualiSR-Set120,ava_images___101816,SUPIR/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___101816.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___101816.png,train,-1.5336276,0.50861377,1.6664174,-1.0499804,-2.996719,1.4334941,0.13424961,-1.8225486,-0.28324962,0.1729548,0.2894181,-0.5624592,-1.1212066,-0.3745251,0.36492607,-0.8968242,-1.3870854,0.5721399,-0.63735914,1.8659345,-0.45355755,-1.571121,0.98952097,-3.3971486,1.3056736,-0.7285749,-1.6293532,-0.17383747,-1.9988794,-0.5823322,0.21866703,-0.3784446,0.96715915,-0.37951845,0.39526814,-0.5620782,0.11179536,-1.199348,0.6318772,-1.1360344,2.9080377,0.35887644,-0.45254052,-1.6299925,-0.720022,1.5719178,-0.6840026,0.07854116,-0.06371033,-0.5924804
QualiSR-Set120/PASD/ava_images___158174.npy.gz,PASD,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___158174.png,QualiSR-Set120,ava_images___158174,PASD/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-2.0860486,-4.2381067,-7.066931,1.1607394,0.15616024,-1.99546,2.5006666,2.8821545,-1.4011567,3.7333465,-0.74251664,-4.1127286,1.2267679,-0.460305,0.69997656,-4.229661,0.032361418,2.5047843,-0.11993845,0.14107114,0.57847816,0.5426275,0.12423214,-0.6469309,0.35414776,0.81289834,0.5287357,0.1243746,-0.14035541,0.49398398,-0.15127349,0.074483514,0.539393,0.29473275,0.012812838,1.197504,-1.3956301,1.5739005,-2.4256666,-1.9510375,0.61178195,-0.63183796,2.5117192,-0.58568317,-0.08478707,-0.19444332,-0.18308957,-0.19327074,-0.15444475,-0.079160586
QualiSR-Set120/RealESRGAN/ava_images___158174.npy.gz,RealESRGAN,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/RealESRGAN/ava_images___158174.png,QualiSR-Set120,ava_images___158174,RealESRGAN/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-1.747775,-4.5323706,-7.134662,1.3528688,0.66394246,-2.0947526,2.536919,3.3501215,-1.5839583,4.011021,-0.58230567,-4.5703464,1.0342778,-0.770043,1.0807092,-4.256788,0.23102337,2.2699456,0.13169816,0.15559971,0.72430706,0.49086756,-0.5188781,-0.93739194,0.26255766,0.54907584,0.38490075,-0.38250327,-0.060923323,0.22739786,-0.15428257,0.027658165,0.7550963,0.3585983,0.14776246,1.2409468,-1.5623854,1.8541319,-2.719581,-2.4464786,0.25171238,-0.60026,2.410096,-1.0633461,0.3003585,0.13992864,0.12890443,0.048022628,0.1385436,-0.33268842
QualiSR-Set120/SUPIR/ava_images___158174.npy.gz,SUPIR,ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/SUPIR/ava_images___158174.png,QualiSR-Set120,ava_images___158174,SUPIR/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___158174.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___158174.png,train,-2.4462864,-4.8789864,-7.8506646,1.3729489,0.2554438,-2.507115,2.9502585,3.3562407,-1.050406,3.8354373,-0.7698034,-3.5315666,1.3223604,-0.7746681,0.82074475,-4.5447063,-0.23722738,2.735675,-0.11127788,0.44106668,0.070962444,0.2887678,0.38874787,-0.372073,0.30759522,0.31729895,0.5459176,0.18821141,0.054094702,0.48506588,0.22123432,0.258318,0.018032879,0.21850768,0.093817785,0.29928714,-0.06616757,0.25937518,-0.14455833,-0.234722,0.1174244,-0.45650312,0.3234992,0.0824026,0.19699672,0.45417255,0.4208187,-0.50674343,0.119611025,-0.031879455
QualiSR-Set120/PASD/ava_images___18037.npy.gz,PASD,ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/sr/PASD/ava_images___18037.png,QualiSR-Set120,ava_images___18037,PASD/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/hr/ava_images___18037.png,../../../mnt/ssd2/29o_rya/datasets/iqa/QualiSR-Set120/lr/ava_images___18037.png,train,-4.213095,8.69507,-1.1769845,3.6401129,0.1850332,-1.2938912,0.40902272,0.30547535,-0.41749132,-0.07009678,-0.382768,0.6013346,-0.45455033,-0.11693153,0.05278659,1.1611004,0.7570881,0.052898362,0.6016518,-1.0413396,-0.47852266,2.1768527,5.3490925,-1.1959884,0.96392775,-0.73007846,3.4333282,-1.1275979,-0.18730193,-0.53501326,-0.12630439,-0.2085526,-0.079331964,-0.33556372,-0.3275348,-0.027646244,-0.0744215,-0.038292587,0.1281436,-0.19266959,-0.12960565,-0.2709521,-0.16067098,-0.082880884,0.021336138,-0.027866066,-0.10884006,0.028053045,0.033157885,0.0428588
